user_id, trial_type, target_distance, target_start_pos, sw_pos_x, sw_pos_y, sw_pos_z, sw_rot_x, sw_rot_y, sw_rot_z, sw_rot_w, finger_relative_pos_x, finger_relative_pos_y, finger_relative_pos_z, target_local_x, target_local_y, target_local_z, nr_of_clutches, is_panning, timestamp, task_number
user1,touch+inertia,long,0_-10,-0.1248,0.8668,-0.1258,-0.1460,0.1528,-0.0675,-0.9751,0.0165,0.0302,0.0274,0.0000,0.0005,-1.0000,0,0,1.3705,9
user1,touch+inertia,long,0_-10,-0.1202,0.8707,-0.1297,-0.1419,0.1481,-0.0658,-0.9765,0.0159,0.0303,0.0256,0.0000,0.0005,-1.0000,0,0,1.3738,9
user1,touch+inertia,long,0_-10,-0.1158,0.8743,-0.1334,-0.1381,0.1437,-0.0642,-0.9778,0.0153,0.0303,0.0240,0.0000,0.0005,-1.0000,0,0,1.3757,9
user1,touch+inertia,long,0_-10,-0.1117,0.8779,-0.1370,-0.1344,0.1396,-0.0629,-0.9790,0.0148,0.0303,0.0223,0.0000,0.0005,-1.0000,0,0,1.3877,9
user1,touch+inertia,long,0_-10,-0.1076,0.8814,-0.1405,-0.1308,0.1356,-0.0615,-0.9802,0.0144,0.0303,0.0207,0.0000,0.0005,-1.0000,0,0,1.4055,9
user1,touch+inertia,long,0_-10,-0.1036,0.8847,-0.1440,-0.1272,0.1315,-0.0601,-0.9813,0.0140,0.0303,0.0192,0.0000,0.0005,-1.0000,0,0,1.4220,9
user1,touch+inertia,long,0_-10,-0.0997,0.8881,-0.1475,-0.1235,0.1276,-0.0585,-0.9824,0.0137,0.0304,0.0178,0.0000,0.0005,-1.0000,0,0,1.4387,9
user1,touch+inertia,long,0_-10,-0.0959,0.8912,-0.1509,-0.1199,0.1237,-0.0567,-0.9834,0.0134,0.0307,0.0164,0.0000,0.0005,-1.0000,0,0,1.4555,9
user1,touch+inertia,long,0_-10,-0.0923,0.8943,-0.1543,-0.1164,0.1201,-0.0551,-0.9844,0.0132,0.0307,0.0151,0.0000,0.0005,-1.0000,0,0,1.4718,9
user1,touch+inertia,long,0_-10,-0.0887,0.8973,-0.1575,-0.1129,0.1165,-0.0531,-0.9853,0.0129,0.0310,0.0139,0.0000,0.0005,-1.0000,0,0,1.4877,9
user1,touch+inertia,long,0_-10,-0.0853,0.9001,-0.1607,-0.1096,0.1129,-0.0513,-0.9862,0.0127,0.0312,0.0127,0.0000,0.0005,-1.0000,0,0,1.5054,9
user1,touch+inertia,long,0_-10,-0.0819,0.9029,-0.1638,-0.1064,0.1096,-0.0496,-0.9870,0.0126,0.0313,0.0115,0.0000,0.0005,-1.0000,0,0,1.5224,9
user1,touch+inertia,long,0_-10,-0.0787,0.9055,-0.1669,-0.1032,0.1062,-0.0479,-0.9878,0.0124,0.0315,0.0105,0.0000,0.0005,-1.0000,0,0,1.5386,9
user1,touch+inertia,long,0_-10,-0.0755,0.9081,-0.1699,-0.0999,0.1028,-0.0459,-0.9886,0.0122,0.0316,0.0095,0.0000,0.0005,-1.0000,0,0,1.5555,9
user1,touch+inertia,long,0_-10,-0.0724,0.9106,-0.1729,-0.0967,0.1000,-0.0441,-0.9893,0.0121,0.0315,0.0084,0.0000,0.0005,-1.0000,0,0,1.5717,9
user1,touch+inertia,long,0_-10,-0.0694,0.9130,-0.1758,-0.0936,0.0968,-0.0419,-0.9900,0.0120,0.0317,0.0076,0.0000,0.0005,-1.0000,0,0,1.5894,9
user1,touch+inertia,long,0_-10,-0.0665,0.9153,-0.1786,-0.0906,0.0941,-0.0400,-0.9906,0.0119,0.0317,0.0067,0.0000,0.0005,-1.0000,0,0,1.6055,9
user1,touch+inertia,long,0_-10,-0.0637,0.9175,-0.1814,-0.0875,0.0910,-0.0377,-0.9913,0.0118,0.0319,0.0059,0.0000,0.0005,-1.0000,0,0,1.6218,9
user1,touch+inertia,long,0_-10,-0.0610,0.9197,-0.1840,-0.0845,0.0886,-0.0360,-0.9918,0.0118,0.0319,0.0050,0.0000,0.0005,-1.0000,0,0,1.6390,9
user1,touch+inertia,long,0_-10,-0.0584,0.9218,-0.1867,-0.0815,0.0863,-0.0344,-0.9923,0.0117,0.0320,0.0043,0.0000,0.0005,-1.0000,0,0,1.6556,9
user1,touch+inertia,long,0_-10,-0.0558,0.9239,-0.1892,-0.0786,0.0841,-0.0327,-0.9928,0.0116,0.0322,0.0036,0.0000,0.0005,-1.0000,0,0,1.6721,9
user1,touch+inertia,long,0_-10,-0.0534,0.9258,-0.1917,-0.0757,0.0819,-0.0310,-0.9933,0.0114,0.0323,0.0030,0.0000,0.0005,-1.0000,0,0,1.6888,9
user1,touch+inertia,long,0_-10,-0.0510,0.9277,-0.1941,-0.0730,0.0797,-0.0293,-0.9937,0.0114,0.0322,0.0024,0.0000,0.0005,-1.0000,0,0,1.7057,9
user1,touch+inertia,long,0_-10,-0.0487,0.9296,-0.1965,-0.0705,0.0776,-0.0275,-0.9941,0.0113,0.0321,0.0017,0.0000,0.0005,-1.0000,0,0,1.7218,9
user1,touch+inertia,long,0_-10,-0.0465,0.9313,-0.1988,-0.0680,0.0755,-0.0258,-0.9945,0.0112,0.0321,0.0012,0.0000,0.0005,-1.0000,0,0,1.7386,9
user1,touch+inertia,long,0_-10,-0.0443,0.9330,-0.2010,-0.0655,0.0733,-0.0240,-0.9949,0.0110,0.0321,0.0006,0.0000,0.0005,-1.0000,0,0,1.7553,9
user1,touch+inertia,long,0_-10,-0.0422,0.9346,-0.2032,-0.0631,0.0711,-0.0221,-0.9952,0.0108,0.0322,0.0001,0.0000,0.0005,-1.0000,0,0,1.7721,9
user1,touch+inertia,long,0_-10,-0.0402,0.9362,-0.2053,-0.0607,0.0690,-0.0204,-0.9956,0.0105,0.0323,-0.0003,0.0000,0.0005,-1.0000,0,0,1.7877,9
