user_id, trial_type, target_distance, target_start_pos, sw_pos_x, sw_pos_y, sw_pos_z, sw_rot_x, sw_rot_y, sw_rot_z, sw_rot_w, finger_relative_pos_x, finger_relative_pos_y, finger_relative_pos_z, target_local_x, target_local_y, target_local_z, nr_of_clutches, is_panning, timestamp, task_number
user1,touch+inertia,short,-2_0,-0.1638,0.8341,-0.1300,-0.1153,0.2518,-0.0093,-0.9608,0.0275,0.0313,0.0200,-0.2000,0.0005,0.0000,0,0,1.4352,13
user1,touch+inertia,short,-2_0,-0.1616,0.8366,-0.1330,-0.1124,0.2503,-0.0082,-0.9616,0.0261,0.0313,0.0185,-0.2000,0.0005,0.0000,0,0,1.4500,13
user1,touch+inertia,short,-2_0,-0.1594,0.8390,-0.1358,-0.1097,0.2488,-0.0071,-0.9623,0.0248,0.0313,0.0171,-0.2000,0.0005,0.0000,0,0,1.4521,13
user1,touch+inertia,short,-2_0,-0.1574,0.8414,-0.1386,-0.1070,0.2474,-0.0061,-0.9630,0.0236,0.0313,0.0157,-0.2000,0.0005,0.0000,0,0,1.4707,13
user1,touch+inertia,short,-2_0,-0.1554,0.8436,-0.1413,-0.1044,0.2461,-0.0050,-0.9636,0.0224,0.0312,0.0144,-0.2000,0.0005,0.0000,0,0,1.4877,13
user1,touch+inertia,short,-2_0,-0.1535,0.8458,-0.1439,-0.1019,0.2449,-0.0039,-0.9642,0.0214,0.0312,0.0132,-0.2000,0.0005,0.0000,0,0,1.5043,13
user1,touch+inertia,short,-2_0,-0.1517,0.8478,-0.1465,-0.0995,0.2437,-0.0032,-0.9647,0.0204,0.0311,0.0120,-0.2000,0.0005,0.0000,0,0,1.5209,13
user1,touch+inertia,short,-2_0,-0.1500,0.8499,-0.1490,-0.0971,0.2426,-0.0023,-0.9652,0.0194,0.0311,0.0109,-0.2000,0.0005,0.0000,0,0,1.5379,13
user1,touch+inertia,short,-2_0,-0.1483,0.8518,-0.1515,-0.0949,0.2414,-0.0013,-0.9658,0.0185,0.0310,0.0099,-0.2000,0.0005,0.0000,0,0,1.5532,13
user1,touch+inertia,short,-2_0,-0.1467,0.8537,-0.1539,-0.0926,0.2404,-0.0004,-0.9662,0.0177,0.0310,0.0090,-0.2000,0.0005,0.0000,0,0,1.5707,13
user1,touch+inertia,short,-2_0,-0.1452,0.8555,-0.1563,-0.0904,0.2393,0.0007,-0.9667,0.0169,0.0311,0.0082,-0.2000,0.0005,0.0000,0,0,1.5878,13
user1,touch+inertia,short,-2_0,-0.1437,0.8572,-0.1585,-0.0883,0.2384,0.0017,-0.9671,0.0161,0.0312,0.0074,-0.2000,0.0005,0.0000,0,0,1.6045,13
user1,touch+inertia,short,-2_0,-0.1423,0.8589,-0.1607,-0.0863,0.2375,0.0030,-0.9675,0.0153,0.0314,0.0068,-0.2000,0.0005,0.0000,0,0,1.6208,13
user1,touch+inertia,short,-2_0,-0.1409,0.8605,-0.1629,-0.0844,0.2366,0.0043,-0.9679,0.0145,0.0317,0.0062,-0.2000,0.0005,0.0000,0,0,1.6376,13
user1,touch+inertia,short,-2_0,-0.1396,0.8621,-0.1650,-0.0826,0.2358,0.0054,-0.9683,0.0137,0.0320,0.0058,-0.2000,0.0005,0.0000,0,0,1.6533,13
user1,touch+inertia,short,-2_0,-0.1383,0.8636,-0.1670,-0.0807,0.2350,0.0065,-0.9686,0.0129,0.0325,0.0055,-0.2000,0.0005,0.0000,0,0,1.6711,13
user1,touch+inertia,short,-2_0,-0.1371,0.8651,-0.1690,-0.0788,0.2343,0.0078,-0.9689,0.0120,0.0329,0.0052,-0.2000,0.0005,0.0000,0,0,1.6876,13
user1,touch+inertia,short,-2_0,-0.1359,0.8665,-0.1710,-0.0769,0.2336,0.0087,-0.9693,0.0113,0.0332,0.0051,-0.2000,0.0005,0.0000,0,0,1.7044,13
user1,touch+inertia,short,-2_0,-0.1348,0.8678,-0.1728,-0.0751,0.2330,0.0099,-0.9695,0.0104,0.0335,0.0050,-0.2000,0.0005,0.0000,0,0,1.7212,13
user1,touch+inertia,short,-2_0,-0.1337,0.8691,-0.1747,-0.0734,0.2324,0.0112,-0.9698,0.0095,0.0337,0.0049,-0.2000,0.0005,0.0000,0,0,1.7379,13
user1,touch+inertia,short,-2_0,-0.1326,0.8703,-0.1764,-0.0719,0.2319,0.0122,-0.9700,0.0086,0.0338,0.0049,-0.2000,0.0005,0.0000,0,0,1.7534,13
user1,touch+inertia,short,-2_0,-0.1315,0.8714,-0.1782,-0.0704,0.2316,0.0131,-0.9702,0.0077,0.0338,0.0049,-0.2000,0.0005,0.0000,0,0,1.7713,13
user1,touch+inertia,short,-2_0,-0.1306,0.8725,-0.1798,-0.0690,0.2312,0.0140,-0.9704,0.0068,0.0338,0.0049,-0.2000,0.0005,0.0000,0,0,1.7879,13
user1,touch+inertia,short,-2_0,-0.1296,0.8736,-0.1814,-0.0676,0.2309,0.0149,-0.9705,0.0060,0.0338,0.0048,-0.2000,0.0005,0.0000,0,0,1.8044,13
user1,touch+inertia,short,-2_0,-0.1286,0.8746,-0.1830,-0.0662,0.2308,0.0157,-0.9706,0.0054,0.0338,0.0049,-0.2000,0.0005,0.0000,0,0,1.8206,13
user1,touch+inertia,short,-2_0,-0.1277,0.8755,-0.1845,-0.0649,0.2309,0.0165,-0.9707,0.0051,0.0338,0.0050,-0.2000,0.0005,0.0000,1,1,1.8376,13
user1,touch+inertia,short,-2_0,-0.1269,0.8764,-0.1860,-0.0637,0.2310,0.0180,-0.9707,0.0052,0.0338,0.0051,-0.2000,0.0005,0.0000,1,1,1.8533,13
user1,touch+inertia,short,-2_0,-0.1260,0.8771,-0.1874,-0.0623,0.2311,0.0207,-0.9707,0.0056,0.0338,0.0053,-0.2000,0.0005,0.0000,1,1,1.8712,13
user1,touch+inertia,short,-2_0,-0.1253,0.8779,-0.1888,-0.0610,0.2314,0.0217,-0.9707,0.0067,0.0336,0.0054,-0.2000,0.0005,0.0000,1,1,1.8876,13
user1,touch+inertia,short,-2_0,-0.1246,0.8786,-0.1903,-0.0596,0.2316,0.0226,-0.9707,0.0080,0.0335,0.0056,-0.2000,0.0005,0.0000,1,1,1.9062,13
user1,touch+inertia,short,-2_0,-0.1239,0.8793,-0.1917,-0.0582,0.2320,0.0233,-0.9707,0.0095,0.0335,0.0058,-0.2000,0.0005,0.0000,1,1,1.9207,13
