user_id, trial_type, target_distance, target_start_pos, sw_pos_x, sw_pos_y, sw_pos_z, sw_rot_x, sw_rot_y, sw_rot_z, sw_rot_w, finger_relative_pos_x, finger_relative_pos_y, finger_relative_pos_z, target_local_x, target_local_y, target_local_z, nr_of_clutches, is_panning, timestamp, task_number
user2,midair,long,-10_-10,-0.2135,0.8537,-0.1609,-0.0248,0.2567,0.0048,-0.9662,0.0276,0.0285,0.0111,-1.0000,0.0005,-1.0000,0,0,1.6102,8
user2,midair,long,-10_-10,-0.2122,0.8540,-0.1609,-0.0246,0.2560,0.0049,-0.9664,0.0268,0.0286,0.0105,-1.0000,0.0005,-1.0000,1,1,1.6541,8
user2,midair,long,-10_-10,-0.2109,0.8542,-0.1609,-0.0245,0.2554,0.0050,-0.9665,0.0260,0.0288,0.0098,-1.0016,0.0005,-1.0013,1,1,1.6565,8
user2,midair,long,-10_-10,-0.2098,0.8544,-0.1609,-0.0243,0.2547,0.0051,-0.9667,0.0253,0.0290,0.0092,-1.0023,0.0005,-1.0019,1,1,1.6578,8
user2,midair,long,-10_-10,-0.2086,0.8545,-0.1608,-0.0242,0.2542,0.0053,-0.9668,0.0246,0.0291,0.0086,-1.0030,0.0005,-1.0025,1,1,1.6675,8
user2,midair,long,-10_-10,-0.2075,0.8547,-0.1608,-0.0240,0.2536,0.0055,-0.9670,0.0239,0.0292,0.0081,-1.0037,0.0005,-1.0031,1,1,1.6837,8
user2,midair,long,-10_-10,-0.2064,0.8548,-0.1607,-0.0239,0.2531,0.0055,-0.9671,0.0233,0.0293,0.0075,-1.0043,0.0005,-1.0036,1,1,1.7010,8
user2,midair,long,-10_-10,-0.2054,0.8549,-0.1607,-0.0239,0.2526,0.0055,-0.9673,0.0227,0.0294,0.0071,-1.0050,0.0005,-1.0041,1,1,1.7176,8
user2,midair,long,-10_-10,-0.2044,0.8550,-0.1606,-0.0239,0.2521,0.0055,-0.9674,0.0221,0.0295,0.0067,-1.0055,0.0005,-1.0045,1,1,1.7344,8
user2,midair,long,-10_-10,-0.2035,0.8552,-0.1605,-0.0231,0.2520,0.0039,-0.9675,0.0217,0.0294,0.0063,-1.0059,0.0005,-1.0049,1,1,1.7521,8
user2,midair,long,-10_-10,-0.2026,0.8554,-0.1604,-0.0224,0.2518,0.0024,-0.9675,0.0213,0.0293,0.0059,-1.0063,0.0005,-1.0052,1,1,1.7681,8
user2,midair,long,-10_-10,-0.2018,0.8556,-0.1604,-0.0217,0.2517,0.0010,-0.9676,0.0209,0.0292,0.0056,-1.0067,0.0005,-1.0056,1,1,1.7842,8
user2,midair,long,-10_-10,-0.2010,0.8558,-0.1603,-0.0211,0.2515,-0.0004,-0.9676,0.0206,0.0291,0.0052,-1.0070,0.0005,-1.0059,1,1,1.8009,8
user2,midair,long,-10_-10,-0.2002,0.8558,-0.1602,-0.0213,0.2511,-0.0004,-0.9677,0.0202,0.0292,0.0050,-1.0074,0.0005,-1.0061,1,1,1.8192,8
user2,midair,long,-10_-10,-0.1994,0.8559,-0.1602,-0.0216,0.2508,-0.0004,-0.9678,0.0198,0.0292,0.0048,-1.0078,0.0005,-1.0063,1,1,1.8361,8
user2,midair,long,-10_-10,-0.1986,0.8559,-0.1601,-0.0218,0.2504,-0.0003,-0.9679,0.0195,0.0292,0.0047,-1.0081,0.0005,-1.0065,1,1,1.8539,8
user2,midair,long,-10_-10,-0.1979,0.8559,-0.1601,-0.0219,0.2500,0.0000,-0.9680,0.0193,0.0293,0.0045,-1.0084,0.0005,-1.0067,1,1,1.8694,8
user2,midair,long,-10_-10,-0.1972,0.8559,-0.1600,-0.0220,0.2496,0.0002,-0.9681,0.0190,0.0293,0.0043,-1.0086,0.0005,-1.0068,1,1,1.8847,8
user2,midair,long,-10_-10,-0.1965,0.8559,-0.1600,-0.0222,0.2492,0.0004,-0.9682,0.0188,0.0294,0.0042,-1.0088,0.0005,-1.0070,1,1,1.9027,8
user2,midair,long,-10_-10,-0.1958,0.8559,-0.1599,-0.0224,0.2489,0.0007,-0.9683,0.0186,0.0296,0.0041,-1.0090,0.0005,-1.0071,1,1,1.9197,8
user2,midair,long,-10_-10,-0.1952,0.8558,-0.1598,-0.0225,0.2486,0.0009,-0.9684,0.0184,0.0297,0.0040,-1.0092,0.0005,-1.0072,1,1,1.9358,8
user2,midair,long,-10_-10,-0.1946,0.8558,-0.1598,-0.0227,0.2483,0.0012,-0.9684,0.0182,0.0298,0.0039,-1.0094,0.0005,-1.0073,1,1,1.9523,8
user2,midair,long,-10_-10,-0.1941,0.8558,-0.1597,-0.0228,0.2480,0.0015,-0.9685,0.0181,0.0299,0.0038,-1.0095,0.0005,-1.0073,1,1,1.9692,8
user2,midair,long,-10_-10,-0.1935,0.8558,-0.1597,-0.0230,0.2477,0.0017,-0.9686,0.0180,0.0300,0.0038,-1.0097,0.0005,-1.0074,1,1,1.9849,8
user2,midair,long,-10_-10,-0.1931,0.8557,-0.1596,-0.0233,0.2476,0.0022,-0.9686,0.0179,0.0302,0.0038,-1.0097,0.0005,-1.0073,1,1,2.0026,8
