user_id, trial_type, target_distance, target_start_pos, sw_pos_x, sw_pos_y, sw_pos_z, sw_rot_x, sw_rot_y, sw_rot_z, sw_rot_w, finger_relative_pos_x, finger_relative_pos_y, finger_relative_pos_z, target_local_x, target_local_y, target_local_z, nr_of_clutches, is_panning, timestamp, task_number
user2,midair,medium,5_-5,-0.1830,0.8527,-0.1584,-0.0328,0.2598,0.0484,-0.9639,0.0277,0.0424,0.0032,0.5000,0.0005,-0.5000,0,0,1.5782,1
user2,midair,medium,5_-5,-0.1828,0.8529,-0.1589,-0.0326,0.2602,0.0479,-0.9638,0.0268,0.0419,0.0026,0.5000,0.0005,-0.5000,1,1,1.6209,1
user2,midair,medium,5_-5,-0.1826,0.8531,-0.1593,-0.0324,0.2606,0.0474,-0.9637,0.0259,0.0415,0.0021,0.4982,0.0005,-0.5011,1,1,1.6241,1
user2,midair,medium,5_-5,-0.1825,0.8533,-0.1598,-0.0322,0.2609,0.0470,-0.9637,0.0251,0.0410,0.0016,0.4974,0.0005,-0.5015,1,1,1.6260,1
user2,midair,medium,5_-5,-0.1824,0.8535,-0.1602,-0.0320,0.2613,0.0466,-0.9636,0.0243,0.0406,0.0012,0.4966,0.0005,-0.5020,1,1,1.6357,1
user2,midair,medium,5_-5,-0.1822,0.8536,-0.1606,-0.0318,0.2617,0.0461,-0.9635,0.0235,0.0402,0.0007,0.4958,0.0005,-0.5024,1,1,1.6518,1
user2,midair,medium,5_-5,-0.1821,0.8538,-0.1610,-0.0317,0.2621,0.0457,-0.9634,0.0227,0.0399,0.0003,0.4950,0.0005,-0.5029,1,1,1.6692,1
user2,midair,medium,5_-5,-0.1819,0.8539,-0.1614,-0.0316,0.2623,0.0455,-0.9634,0.0219,0.0396,-0.0001,0.4943,0.0005,-0.5033,1,1,1.6856,1
user2,midair,medium,5_-5,-0.1818,0.8541,-0.1618,-0.0314,0.2625,0.0453,-0.9633,0.0212,0.0393,-0.0005,0.4935,0.0005,-0.5037,1,1,1.7023,1
user2,midair,medium,5_-5,-0.1816,0.8542,-0.1622,-0.0313,0.2628,0.0451,-0.9633,0.0205,0.0390,-0.0008,0.4928,0.0005,-0.5040,1,1,1.7192,1
user2,midair,medium,5_-5,-0.1815,0.8543,-0.1625,-0.0312,0.2630,0.0448,-0.9632,0.0198,0.0388,-0.0012,0.4921,0.0005,-0.5044,1,1,1.7357,1
user2,midair,medium,5_-5,-0.1814,0.8545,-0.1629,-0.0311,0.2633,0.0445,-0.9632,0.0192,0.0385,-0.0015,0.4915,0.0005,-0.5047,1,1,1.7512,1
user2,midair,medium,5_-5,-0.1813,0.8546,-0.1632,-0.0310,0.2636,0.0441,-0.9631,0.0186,0.0382,-0.0018,0.4909,0.0005,-0.5050,1,1,1.7692,1
user2,midair,medium,5_-5,-0.1813,0.8547,-0.1636,-0.0309,0.2638,0.0438,-0.9631,0.0181,0.0380,-0.0021,0.4904,0.0005,-0.5053,1,1,1.7858,1
user2,midair,medium,5_-5,-0.1812,0.8547,-0.1639,-0.0308,0.2640,0.0435,-0.9630,0.0176,0.0378,-0.0024,0.4899,0.0005,-0.5056,1,1,1.8026,1
user2,midair,medium,5_-5,-0.1812,0.8548,-0.1642,-0.0306,0.2644,0.0430,-0.9630,0.0172,0.0376,-0.0027,0.4895,0.0005,-0.5058,1,1,1.8194,1
user2,midair,medium,5_-5,-0.1812,0.8549,-0.1645,-0.0305,0.2647,0.0426,-0.9629,0.0168,0.0374,-0.0029,0.4892,0.0005,-0.5061,1,1,1.8358,1
user2,midair,medium,5_-5,-0.1811,0.8550,-0.1647,-0.0304,0.2650,0.0421,-0.9628,0.0165,0.0372,-0.0032,0.4888,0.0005,-0.5064,1,1,1.8513,1
user2,midair,medium,5_-5,-0.1811,0.8551,-0.1650,-0.0303,0.2654,0.0417,-0.9628,0.0162,0.0370,-0.0034,0.4885,0.0005,-0.5066,1,1,1.8690,1
user2,midair,medium,5_-5,-0.1811,0.8551,-0.1652,-0.0302,0.2657,0.0412,-0.9627,0.0159,0.0368,-0.0037,0.4882,0.0005,-0.5069,1,1,1.8856,1
user2,midair,medium,5_-5,-0.1811,0.8552,-0.1655,-0.0300,0.2660,0.0407,-0.9627,0.0156,0.0366,-0.0039,0.4879,0.0005,-0.5071,1,1,1.9030,1
user2,midair,medium,5_-5,-0.1811,0.8553,-0.1657,-0.0299,0.2662,0.0403,-0.9626,0.0153,0.0364,-0.0041,0.4877,0.0005,-0.5073,1,1,1.9191,1
user2,midair,medium,5_-5,-0.1811,0.8553,-0.1659,-0.0298,0.2665,0.0398,-0.9626,0.0151,0.0363,-0.0043,0.4874,0.0005,-0.5075,1,1,1.9358,1
user2,midair,medium,5_-5,-0.1811,0.8554,-0.1662,-0.0297,0.2667,0.0394,-0.9625,0.0149,0.0361,-0.0045,0.4872,0.0005,-0.5076,1,1,1.9513,1
user2,midair,medium,5_-5,-0.1811,0.8554,-0.1664,-0.0296,0.2669,0.0389,-0.9625,0.0147,0.0360,-0.0046,0.4870,0.0005,-0.5078,1,1,1.9698,1
user2,midair,medium,5_-5,-0.1811,0.8555,-0.1665,-0.0296,0.2671,0.0385,-0.9624,0.0145,0.0359,-0.0048,0.4868,0.0005,-0.5079,1,1,1.9858,1
user2,midair,medium,5_-5,-0.1811,0.8555,-0.1667,-0.0294,0.2673,0.0380,-0.9624,0.0144,0.0357,-0.0049,0.4867,0.0005,-0.5081,1,1,2.0025,1
user2,midair,medium,5_-5,-0.1811,0.8556,-0.1669,-0.0294,0.2675,0.0376,-0.9624,0.0142,0.0356,-0.0050,0.4865,0.0005,-0.5082,1,1,2.0190,1
user2,midair,medium,5_-5,-0.1811,0.8556,-0.1671,-0.0293,0.2677,0.0372,-0.9623,0.0141,0.0354,-0.0051,0.4865,0.0005,-0.5083,1,1,2.0361,1
user2,midair,medium,5_-5,-0.1811,0.8556,-0.1672,-0.0292,0.2679,0.0368,-0.9623,0.0140,0.0353,-0.0052,0.4864,0.0005,-0.5083,1,1,2.0512,1
user2,midair,medium,5_-5,-0.1812,0.8557,-0.1674,-0.0291,0.2681,0.0364,-0.9623,0.0140,0.0352,-0.0053,0.4863,0.0005,-0.5084,1,1,2.0691,1
user2,midair,medium,5_-5,-0.1812,0.8557,-0.1675,-0.0290,0.2682,0.0360,-0.9623,0.0139,0.0350,-0.0053,0.4862,0.0005,-0.5085,1,1,2.0857,1
user2,midair,medium,5_-5,-0.1812,0.8557,-0.1676,-0.0289,0.2684,0.0356,-0.9622,0.0138,0.0349,-0.0054,0.4862,0.0005,-0.5086,1,1,2.1024,1
user2,midair,medium,5_-5,-0.1812,0.8558,-0.1678,-0.0289,0.2685,0.0352,-0.9622,0.0139,0.0348,-0.0054,0.4862,0.0005,-0.5086,1,1,2.1189,1
