user_id, trial_type, target_distance, target_start_pos, sw_pos_x, sw_pos_y, sw_pos_z, sw_rot_x, sw_rot_y, sw_rot_z, sw_rot_w, finger_relative_pos_x, finger_relative_pos_y, finger_relative_pos_z, target_local_x, target_local_y, target_local_z, nr_of_clutches, is_panning, timestamp, task_number
user2,touch+inertia,medium,5_-5,-0.1562,0.8373,-0.1272,-0.0542,0.3089,0.0325,-0.9490,0.0258,0.0222,0.0127,0.5000,0.0005,-0.5000,0,0,1.6032,15
user2,touch+inertia,medium,5_-5,-0.1551,0.8374,-0.1271,-0.0536,0.3085,0.0336,-0.9491,0.0249,0.0226,0.0116,0.5000,0.0005,-0.5000,0,0,1.6130,15
user2,touch+inertia,medium,5_-5,-0.1540,0.8375,-0.1269,-0.0530,0.3082,0.0347,-0.9492,0.0240,0.0231,0.0105,0.5000,0.0005,-0.5000,0,0,1.6143,15
user2,touch+inertia,medium,5_-5,-0.1530,0.8376,-0.1268,-0.0524,0.3080,0.0354,-0.9493,0.0231,0.0234,0.0095,0.5000,0.0005,-0.5000,0,0,1.6205,15
user2,touch+inertia,medium,5_-5,-0.1520,0.8377,-0.1266,-0.0518,0.3078,0.0362,-0.9494,0.0224,0.0238,0.0085,0.5000,0.0005,-0.5000,0,0,1.6368,15
user2,touch+inertia,medium,5_-5,-0.1511,0.8378,-0.1265,-0.0512,0.3077,0.0370,-0.9494,0.0216,0.0242,0.0075,0.5000,0.0005,-0.5000,0,0,1.6539,15
user2,touch+inertia,medium,5_-5,-0.1503,0.8379,-0.1264,-0.0506,0.3076,0.0376,-0.9494,0.0210,0.0245,0.0066,0.5000,0.0005,-0.5000,0,0,1.6706,15
user2,touch+inertia,medium,5_-5,-0.1495,0.8380,-0.1263,-0.0501,0.3075,0.0380,-0.9495,0.0204,0.0249,0.0057,0.5000,0.0005,-0.5000,0,0,1.6872,15
user2,touch+inertia,medium,5_-5,-0.1488,0.8381,-0.1263,-0.0496,0.3074,0.0385,-0.9495,0.0200,0.0254,0.0050,0.5000,0.0005,-0.5000,0,0,1.7039,15
user2,touch+inertia,medium,5_-5,-0.1481,0.8382,-0.1262,-0.0493,0.3073,0.0391,-0.9495,0.0196,0.0259,0.0043,0.5000,0.0005,-0.5000,0,0,1.7207,15
user2,touch+inertia,medium,5_-5,-0.1475,0.8382,-0.1262,-0.0489,0.3072,0.0399,-0.9496,0.0193,0.0264,0.0036,0.5000,0.0005,-0.5000,0,0,1.7367,15
user2,touch+inertia,medium,5_-5,-0.1469,0.8383,-0.1262,-0.0485,0.3067,0.0407,-0.9497,0.0191,0.0269,0.0030,0.5000,0.0005,-0.5000,0,0,1.7542,15
user2,touch+inertia,medium,5_-5,-0.1463,0.8383,-0.1262,-0.0484,0.3063,0.0418,-0.9498,0.0190,0.0274,0.0024,0.5000,0.0005,-0.5000,0,0,1.7717,15
user2,touch+inertia,medium,5_-5,-0.1458,0.8383,-0.1262,-0.0483,0.3060,0.0429,-0.9498,0.0189,0.0279,0.0019,0.5000,0.0005,-0.5000,0,0,1.7883,15
