user_id, trial_type, target_distance, target_start_pos, sw_pos_x, sw_pos_y, sw_pos_z, sw_rot_x, sw_rot_y, sw_rot_z, sw_rot_w, finger_relative_pos_x, finger_relative_pos_y, finger_relative_pos_z, target_local_x, target_local_y, target_local_z, nr_of_clutches, is_panning, timestamp, task_number
user3,midair,long,10_-10,-0.1606,0.9019,-0.3443,0.1925,0.0091,0.0697,-0.9788,0.0266,0.0636,0.0107,1.0000,0.0005,-1.0000,0,0,3.1457,4
user3,midair,long,10_-10,-0.1603,0.9017,-0.3443,0.1921,0.0087,0.0700,-0.9788,0.0250,0.0629,0.0102,1.0000,0.0005,-1.0000,0,0,3.1694,4
user3,midair,long,10_-10,-0.1600,0.9016,-0.3444,0.1919,0.0083,0.0702,-0.9789,0.0234,0.0621,0.0098,1.0000,0.0005,-1.0000,0,0,3.1708,4
user3,midair,long,10_-10,-0.1598,0.9015,-0.3444,0.1915,0.0079,0.0705,-0.9789,0.0220,0.0614,0.0094,1.0000,0.0005,-1.0000,0,0,3.1864,4
user3,midair,long,10_-10,-0.1595,0.9014,-0.3444,0.1911,0.0076,0.0707,-0.9790,0.0206,0.0607,0.0090,1.0000,0.0005,-1.0000,0,0,3.2024,4
user3,midair,long,10_-10,-0.1593,0.9012,-0.3445,0.1908,0.0073,0.0711,-0.9790,0.0193,0.0601,0.0086,1.0000,0.0005,-1.0000,0,0,3.2190,4
user3,midair,long,10_-10,-0.1591,0.9011,-0.3445,0.1905,0.0070,0.0714,-0.9791,0.0181,0.0595,0.0083,1.0000,0.0005,-1.0000,0,0,3.2365,4
user3,midair,long,10_-10,-0.1588,0.9009,-0.3445,0.1902,0.0067,0.0717,-0.9791,0.0169,0.0589,0.0079,1.0000,0.0005,-1.0000,0,0,3.2529,4
user3,midair,long,10_-10,-0.1586,0.9008,-0.3445,0.1899,0.0065,0.0721,-0.9791,0.0158,0.0583,0.0076,1.0000,0.0005,-1.0000,0,0,3.2684,4
user3,midair,long,10_-10,-0.1584,0.9007,-0.3446,0.1896,0.0062,0.0724,-0.9792,0.0148,0.0578,0.0073,1.0000,0.0005,-1.0000,0,0,3.2875,4
user3,midair,long,10_-10,-0.1582,0.9006,-0.3446,0.1893,0.0060,0.0728,-0.9792,0.0138,0.0573,0.0070,1.0000,0.0005,-1.0000,0,0,3.3027,4
