user_id, trial_type, target_distance, target_start_pos, sw_pos_x, sw_pos_y, sw_pos_z, sw_rot_x, sw_rot_y, sw_rot_z, sw_rot_w, finger_relative_pos_x, finger_relative_pos_y, finger_relative_pos_z, target_local_x, target_local_y, target_local_z, nr_of_clutches, is_panning, timestamp, task_number
user4,touch+inertia,short,2_0,0.0533,0.8161,-0.0930,0.0813,0.2786,0.0609,-0.9550,0.0284,0.0273,0.0145,0.2000,0.0005,0.0000,0,0,1.6746,22
user4,touch+inertia,short,2_0,0.0581,0.8169,-0.0925,0.0824,0.2756,0.0640,-0.9556,0.0274,0.0280,0.0136,0.2000,0.0005,0.0000,0,0,1.6782,22
user4,touch+inertia,short,2_0,0.0627,0.8176,-0.0921,0.0832,0.2726,0.0671,-0.9562,0.0266,0.0290,0.0128,0.2000,0.0005,0.0000,0,0,1.6888,22
user4,touch+inertia,short,2_0,0.0671,0.8183,-0.0917,0.0839,0.2697,0.0700,-0.9567,0.0260,0.0299,0.0121,0.2000,0.0005,0.0000,0,0,1.6903,22
user4,touch+inertia,short,2_0,0.0713,0.8189,-0.0914,0.0848,0.2671,0.0730,-0.9572,0.0251,0.0306,0.0113,0.2000,0.0005,0.0000,0,0,1.7052,22
user4,touch+inertia,short,2_0,0.0754,0.8196,-0.0910,0.0855,0.2645,0.0746,-0.9577,0.0242,0.0309,0.0107,0.2000,0.0005,0.0000,0,0,1.7211,22
user4,touch+inertia,short,2_0,0.0793,0.8203,-0.0907,0.0861,0.2621,0.0754,-0.9582,0.0235,0.0311,0.0100,0.2000,0.0005,0.0000,0,0,1.7373,22
user4,touch+inertia,short,2_0,0.0831,0.8210,-0.0903,0.0870,0.2598,0.0771,-0.9586,0.0226,0.0312,0.0093,0.2000,0.0005,0.0000,0,0,1.7543,22
user4,touch+inertia,short,2_0,0.0868,0.8216,-0.0900,0.0879,0.2574,0.0789,-0.9591,0.0218,0.0314,0.0087,0.2000,0.0005,0.0000,0,0,1.7708,22
user4,touch+inertia,short,2_0,0.0903,0.8222,-0.0896,0.0887,0.2552,0.0812,-0.9594,0.0212,0.0317,0.0081,0.2000,0.0005,0.0000,0,0,1.7875,22
user4,touch+inertia,short,2_0,0.0937,0.8227,-0.0893,0.0893,0.2531,0.0832,-0.9597,0.0206,0.0320,0.0075,0.2000,0.0005,0.0000,0,0,1.8034,22
user4,touch+inertia,short,2_0,0.0970,0.8233,-0.0890,0.0902,0.2511,0.0854,-0.9600,0.0199,0.0321,0.0069,0.2000,0.0005,0.0000,0,0,1.8214,22
user4,touch+inertia,short,2_0,0.1001,0.8237,-0.0887,0.0911,0.2492,0.0878,-0.9601,0.0192,0.0323,0.0064,0.2000,0.0005,0.0000,0,0,1.8372,22
user4,touch+inertia,short,2_0,0.1032,0.8242,-0.0884,0.0918,0.2474,0.0896,-0.9604,0.0186,0.0323,0.0059,0.2000,0.0005,0.0000,0,0,1.8540,22
user4,touch+inertia,short,2_0,0.1060,0.8247,-0.0882,0.0924,0.2456,0.0913,-0.9606,0.0180,0.0324,0.0053,0.2000,0.0005,0.0000,0,0,1.8719,22
user4,touch+inertia,short,2_0,0.1088,0.8251,-0.0879,0.0930,0.2439,0.0930,-0.9608,0.0175,0.0324,0.0048,0.2000,0.0005,0.0000,0,0,1.8886,22
user4,touch+inertia,short,2_0,0.1115,0.8256,-0.0877,0.0937,0.2422,0.0946,-0.9610,0.0169,0.0324,0.0043,0.2000,0.0005,0.0000,0,0,1.9050,22
user4,touch+inertia,short,2_0,0.1140,0.8259,-0.0875,0.0942,0.2406,0.0966,-0.9612,0.0163,0.0324,0.0039,0.2000,0.0005,0.0000,0,0,1.9209,22
user4,touch+inertia,short,2_0,0.1164,0.8263,-0.0873,0.0949,0.2391,0.0985,-0.9613,0.0158,0.0324,0.0034,0.2000,0.0005,0.0000,0,0,1.9382,22
user4,touch+inertia,short,2_0,0.1188,0.8266,-0.0871,0.0954,0.2377,0.1001,-0.9614,0.0153,0.0324,0.0030,0.2000,0.0005,0.0000,0,0,1.9549,22
user4,touch+inertia,short,2_0,0.1210,0.8269,-0.0869,0.0959,0.2363,0.1020,-0.9615,0.0148,0.0326,0.0026,0.2000,0.0005,0.0000,0,0,1.9715,22
user4,touch+inertia,short,2_0,0.1232,0.8271,-0.0868,0.0962,0.2349,0.1032,-0.9617,0.0145,0.0329,0.0022,0.2000,0.0005,0.0000,0,0,1.9886,22
user4,touch+inertia,short,2_0,0.1253,0.8273,-0.0866,0.0967,0.2336,0.1048,-0.9618,0.0143,0.0332,0.0020,0.2000,0.0005,0.0000,0,0,2.0051,22
user4,touch+inertia,short,2_0,0.1272,0.8275,-0.0865,0.0971,0.2323,0.1066,-0.9619,0.0141,0.0335,0.0020,0.2000,0.0005,0.0000,0,0,2.0205,22
user4,touch+inertia,short,2_0,0.1291,0.8277,-0.0864,0.0976,0.2310,0.1081,-0.9620,0.0140,0.0338,0.0020,0.2000,0.0005,0.0000,0,0,2.0384,22
user4,touch+inertia,short,2_0,0.1309,0.8278,-0.0863,0.0978,0.2295,0.1097,-0.9621,0.0141,0.0343,0.0023,0.2000,0.0005,0.0000,0,0,2.0550,22
user4,touch+inertia,short,2_0,0.1326,0.8279,-0.0862,0.0981,0.2282,0.1112,-0.9622,0.0143,0.0347,0.0027,0.2000,0.0005,0.0000,0,0,2.0735,22
user4,touch+inertia,short,2_0,0.1342,0.8280,-0.0861,0.0983,0.2270,0.1127,-0.9623,0.0144,0.0350,0.0031,0.2000,0.0005,0.0000,0,0,2.0881,22
user4,touch+inertia,short,2_0,0.1358,0.8281,-0.0860,0.0986,0.2259,0.1139,-0.9624,0.0144,0.0351,0.0034,0.2000,0.0005,0.0000,0,0,2.1059,22
user4,touch+inertia,short,2_0,0.1373,0.8281,-0.0859,0.0989,0.2248,0.1150,-0.9625,0.0143,0.0351,0.0037,0.2000,0.0005,0.0000,0,0,2.1204,22
user4,touch+inertia,short,2_0,0.1388,0.8283,-0.0858,0.0985,0.2236,0.1144,-0.9629,0.0141,0.0350,0.0039,0.2000,0.0005,0.0000,0,0,2.1387,22
user4,touch+inertia,short,2_0,0.1401,0.8283,-0.0857,0.0985,0.2226,0.1148,-0.9631,0.0135,0.0349,0.0041,0.2000,0.0005,0.0000,0,0,2.1553,22
user4,touch+inertia,short,2_0,0.1414,0.8284,-0.0856,0.0984,0.2217,0.1146,-0.9633,0.0127,0.0348,0.0041,0.2000,0.0005,0.0000,1,1,2.1714,22
user4,touch+inertia,short,2_0,0.1426,0.8284,-0.0855,0.0982,0.2207,0.1155,-0.9635,0.0111,0.0348,0.0038,0.2000,0.0005,0.0000,1,1,2.1884,22
user4,touch+inertia,short,2_0,0.1439,0.8284,-0.0853,0.0981,0.2200,0.1164,-0.9636,0.0089,0.0347,0.0031,0.2000,0.0005,0.0000,1,1,2.2056,22
user4,touch+inertia,short,2_0,0.1451,0.8285,-0.0852,0.0974,0.2192,0.1174,-0.9637,0.0065,0.0347,0.0023,0.2000,0.0005,0.0000,1,1,2.2206,22
user4,touch+inertia,short,2_0,0.1462,0.8284,-0.0850,0.0975,0.2187,0.1179,-0.9637,0.0040,0.0350,0.0013,0.1931,0.0005,-0.0007,1,0,2.2383,22
user4,touch+inertia,short,2_0,0.1473,0.8284,-0.0848,0.0977,0.2183,0.1182,-0.9638,0.0015,0.0356,0.0002,0.1931,0.0005,-0.0007,1,0,2.2547,22
user4,touch+inertia,short,2_0,0.1483,0.8284,-0.0846,0.0981,0.2179,0.1182,-0.9638,-0.0009,0.0362,-0.0010,0.1931,0.0005,-0.0007,1,0,2.2714,22
user4,touch+inertia,short,2_0,0.1493,0.8283,-0.0845,0.0984,0.2175,0.1181,-0.9639,-0.0030,0.0371,-0.0020,0.1931,0.0005,-0.0007,1,0,2.2885,22
user4,touch+inertia,short,2_0,0.1502,0.8283,-0.0843,0.0984,0.2171,0.1185,-0.9639,-0.0047,0.0381,-0.0030,0.1776,0.0005,-0.0025,1,0,2.3052,22
user4,touch+inertia,short,2_0,0.1511,0.8282,-0.0842,0.0984,0.2168,0.1187,-0.9640,-0.0062,0.0392,-0.0039,0.1776,0.0005,-0.0025,1,0,2.3208,22
user4,touch+inertia,short,2_0,0.1519,0.8281,-0.0841,0.0984,0.2163,0.1194,-0.9640,-0.0071,0.0404,-0.0045,0.1776,0.0005,-0.0025,1,0,2.3381,22
user4,touch+inertia,short,2_0,0.1526,0.8279,-0.0840,0.0982,0.2157,0.1200,-0.9641,-0.0075,0.0415,-0.0050,0.1661,0.0005,-0.0038,1,0,2.3548,22
user4,touch+inertia,short,2_0,0.1533,0.8278,-0.0839,0.0980,0.2153,0.1204,-0.9641,-0.0075,0.0425,-0.0054,0.1661,0.0005,-0.0038,1,0,2.3719,22
user4,touch+inertia,short,2_0,0.1540,0.8276,-0.0838,0.0979,0.2149,0.1208,-0.9642,-0.0072,0.0434,-0.0057,0.1661,0.0005,-0.0038,1,0,2.3882,22
user4,touch+inertia,short,2_0,0.1546,0.8274,-0.0837,0.0977,0.2144,0.1215,-0.9642,-0.0064,0.0441,-0.0057,0.1600,0.0005,-0.0045,1,0,2.4050,22
user4,touch+inertia,short,2_0,0.1552,0.8272,-0.0836,0.0977,0.2140,0.1225,-0.9642,-0.0056,0.0447,-0.0056,0.1600,0.0005,-0.0045,1,0,2.4207,22
user4,touch+inertia,short,2_0,0.1559,0.8270,-0.0835,0.0974,0.2133,0.1227,-0.9643,-0.0045,0.0451,-0.0055,0.1600,0.0005,-0.0045,1,0,2.4384,22
user4,touch+inertia,short,2_0,0.1565,0.8268,-0.0833,0.0973,0.2130,0.1228,-0.9644,-0.0032,0.0453,-0.0053,0.1600,0.0005,-0.0045,1,0,2.4551,22
user4,touch+inertia,short,2_0,0.1571,0.8265,-0.0832,0.0971,0.2126,0.1228,-0.9645,-0.0020,0.0454,-0.0050,0.1600,0.0005,-0.0045,1,0,2.4719,22
user4,touch+inertia,short,2_0,0.1576,0.8262,-0.0831,0.0969,0.2123,0.1227,-0.9646,-0.0008,0.0455,-0.0047,0.1576,0.0005,-0.0047,1,0,2.4886,22
user4,touch+inertia,short,2_0,0.1582,0.8260,-0.0830,0.0969,0.2121,0.1225,-0.9647,0.0002,0.0454,-0.0044,0.1576,0.0005,-0.0047,1,0,2.5055,22
user4,touch+inertia,short,2_0,0.1588,0.8257,-0.0830,0.0966,0.2117,0.1223,-0.9648,0.0012,0.0452,-0.0041,0.1576,0.0005,-0.0047,1,0,2.5207,22
user4,touch+inertia,short,2_0,0.1594,0.8255,-0.0829,0.0962,0.2112,0.1220,-0.9650,0.0020,0.0449,-0.0038,0.1576,0.0005,-0.0047,1,0,2.5380,22
user4,touch+inertia,short,2_0,0.1600,0.8252,-0.0829,0.0960,0.2107,0.1227,-0.9651,0.0025,0.0444,-0.0034,0.1569,0.0005,-0.0048,1,0,2.5554,22
user4,touch+inertia,short,2_0,0.1605,0.8249,-0.0829,0.0960,0.2104,0.1232,-0.9651,0.0028,0.0439,-0.0031,0.1569,0.0005,-0.0048,1,0,2.5714,22
user4,touch+inertia,short,2_0,0.1610,0.8246,-0.0828,0.0959,0.2098,0.1234,-0.9652,0.0029,0.0434,-0.0028,0.1569,0.0005,-0.0048,1,0,2.5889,22
user4,touch+inertia,short,2_0,0.1615,0.8243,-0.0829,0.0955,0.2091,0.1238,-0.9653,0.0024,0.0431,-0.0025,0.1569,0.0005,-0.0048,1,0,2.6054,22
user4,touch+inertia,short,2_0,0.1620,0.8240,-0.0829,0.0950,0.2082,0.1246,-0.9654,0.0017,0.0427,-0.0023,0.1569,0.0005,-0.0048,1,0,2.6206,22
user4,touch+inertia,short,2_0,0.1625,0.8238,-0.0829,0.0947,0.2077,0.1252,-0.9655,0.0004,0.0422,-0.0025,0.1568,0.0005,-0.0048,1,0,2.6385,22
user4,touch+inertia,short,2_0,0.1630,0.8235,-0.0830,0.0944,0.2070,0.1263,-0.9655,-0.0013,0.0418,-0.0028,0.1552,0.0005,-0.0043,2,1,2.6551,22
user4,touch+inertia,short,2_0,0.1635,0.8233,-0.0830,0.0944,0.2066,0.1270,-0.9655,-0.0031,0.0415,-0.0032,0.1552,0.0005,-0.0043,2,1,2.6725,22
