user_id, trial_type, target_distance, target_start_pos, sw_pos_x, sw_pos_y, sw_pos_z, sw_rot_x, sw_rot_y, sw_rot_z, sw_rot_w, finger_relative_pos_x, finger_relative_pos_y, finger_relative_pos_z, target_local_x, target_local_y, target_local_z, nr_of_clutches, is_panning, timestamp, task_number
user5,midair,long,-10_10,-0.1268,0.8712,-0.2478,0.0794,0.6714,0.1675,-0.7176,0.0098,0.0512,-0.0284,-1.0000,0.0005,1.0000,0,0,1.1777,23
user5,midair,long,-10_10,-0.1269,0.8712,-0.2479,0.0798,0.6715,0.1672,-0.7175,0.0093,0.0520,-0.0271,-1.0000,0.0005,1.0000,1,1,1.2234,23
user5,midair,long,-10_10,-0.1270,0.8711,-0.2480,0.0801,0.6716,0.1668,-0.7174,0.0088,0.0528,-0.0260,-1.0010,0.0005,1.0024,1,1,1.2259,23
user5,midair,long,-10_10,-0.1270,0.8710,-0.2482,0.0804,0.6717,0.1665,-0.7174,0.0083,0.0535,-0.0249,-1.0015,0.0005,1.0035,1,1,1.2280,23
user5,midair,long,-10_10,-0.1271,0.8710,-0.2483,0.0807,0.6718,0.1662,-0.7173,0.0079,0.0540,-0.0237,-1.0020,0.0005,1.0046,1,1,1.2347,23
user5,midair,long,-10_10,-0.1272,0.8709,-0.2484,0.0810,0.6719,0.1659,-0.7173,0.0075,0.0545,-0.0226,-1.0024,0.0005,1.0058,1,1,1.2530,23
user5,midair,long,-10_10,-0.1272,0.8708,-0.2485,0.0812,0.6720,0.1657,-0.7172,0.0070,0.0549,-0.0215,-1.0028,0.0005,1.0068,1,1,1.2685,23
user5,midair,long,-10_10,-0.1273,0.8708,-0.2486,0.0814,0.6720,0.1655,-0.7172,0.0067,0.0551,-0.0204,-1.0032,0.0005,1.0079,1,1,1.2852,23
user5,midair,long,-10_10,-0.1273,0.8708,-0.2488,0.0817,0.6719,0.1654,-0.7173,0.0062,0.0550,-0.0193,-1.0032,0.0005,1.0079,1,0,1.3237,23
user5,midair,long,-10_10,-0.1273,0.8707,-0.2489,0.0819,0.6719,0.1653,-0.7173,0.0058,0.0549,-0.0182,-1.0032,0.0005,1.0079,1,0,1.3258,23
user5,midair,long,-10_10,-0.1273,0.8707,-0.2490,0.0821,0.6718,0.1653,-0.7174,0.0055,0.0547,-0.0171,-1.0032,0.0005,1.0079,1,0,1.3347,23
user5,midair,long,-10_10,-0.1273,0.8706,-0.2492,0.0822,0.6719,0.1654,-0.7173,0.0051,0.0541,-0.0162,-1.0036,0.0005,1.0089,2,1,1.3726,23
user5,midair,long,-10_10,-0.1273,0.8705,-0.2493,0.0822,0.6719,0.1656,-0.7172,0.0047,0.0536,-0.0153,-1.0039,0.0005,1.0097,2,1,1.3747,23
user5,midair,long,-10_10,-0.1273,0.8705,-0.2494,0.0825,0.6719,0.1657,-0.7172,0.0043,0.0530,-0.0145,-1.0043,0.0005,1.0106,2,1,1.3854,23
