user_id, trial_type, target_distance, target_start_pos, sw_pos_x, sw_pos_y, sw_pos_z, sw_rot_x, sw_rot_y, sw_rot_z, sw_rot_w, finger_relative_pos_x, finger_relative_pos_y, finger_relative_pos_z, target_local_x, target_local_y, target_local_z, nr_of_clutches, is_panning, timestamp, task_number
user5,midair,long,10_0,-0.1844,0.9574,-0.3193,0.1834,0.5724,0.3332,-0.7264,0.0225,0.0434,-0.0259,1.0000,0.0005,0.0000,0,0,0.7260,10
user5,midair,long,10_0,-0.1843,0.9576,-0.3196,0.1840,0.5723,0.3331,-0.7264,0.0217,0.0444,-0.0235,1.0000,0.0005,0.0000,0,0,0.7333,10
user5,midair,long,10_0,-0.1842,0.9578,-0.3199,0.1847,0.5721,0.3329,-0.7265,0.0203,0.0456,-0.0209,1.0000,0.0005,0.0000,1,1,0.7876,10
user5,midair,long,10_0,-0.1841,0.9580,-0.3202,0.1855,0.5720,0.3326,-0.7265,0.0190,0.0468,-0.0185,0.9974,0.0005,0.0050,1,1,0.7906,10
user5,midair,long,10_0,-0.1840,0.9581,-0.3205,0.1862,0.5719,0.3324,-0.7265,0.0178,0.0479,-0.0161,0.9962,0.0005,0.0074,1,1,0.7927,10
user5,midair,long,10_0,-0.1840,0.9584,-0.3208,0.1868,0.5719,0.3321,-0.7265,0.0167,0.0490,-0.0140,0.9950,0.0005,0.0095,1,1,0.8007,10
user5,midair,long,10_0,-0.1839,0.9586,-0.3211,0.1871,0.5717,0.3321,-0.7265,0.0153,0.0500,-0.0120,0.9937,0.0005,0.0115,1,1,0.8177,10
user5,midair,long,10_0,-0.1838,0.9587,-0.3213,0.1876,0.5716,0.3322,-0.7264,0.0139,0.0509,-0.0102,0.9922,0.0005,0.0133,1,1,0.8334,10
user5,midair,long,10_0,-0.1838,0.9589,-0.3215,0.1877,0.5712,0.3323,-0.7267,0.0125,0.0516,-0.0086,0.9908,0.0005,0.0149,1,1,0.8510,10
user5,midair,long,10_0,-0.1837,0.9592,-0.3218,0.1878,0.5709,0.3322,-0.7270,0.0110,0.0520,-0.0074,0.9893,0.0005,0.0161,1,1,0.8676,10
user5,midair,long,10_0,-0.1837,0.9594,-0.3220,0.1880,0.5705,0.3322,-0.7272,0.0096,0.0523,-0.0064,0.9879,0.0005,0.0171,1,1,0.8849,10
user5,midair,long,10_0,-0.1837,0.9596,-0.3222,0.1881,0.5703,0.3321,-0.7274,0.0083,0.0525,-0.0056,0.9866,0.0005,0.0179,1,1,0.9014,10
user5,midair,long,10_0,-0.1837,0.9599,-0.3224,0.1882,0.5700,0.3319,-0.7277,0.0072,0.0525,-0.0050,0.9855,0.0005,0.0185,1,1,0.9175,10
user5,midair,long,10_0,-0.1837,0.9602,-0.3226,0.1883,0.5702,0.3316,-0.7277,0.0062,0.0525,-0.0046,0.9846,0.0005,0.0189,1,1,0.9334,10
user5,midair,long,10_0,-0.1838,0.9604,-0.3228,0.1887,0.5702,0.3315,-0.7276,0.0054,0.0524,-0.0041,0.9837,0.0005,0.0194,1,1,0.9509,10
user5,midair,long,10_0,-0.1838,0.9607,-0.3230,0.1890,0.5704,0.3312,-0.7275,0.0048,0.0524,-0.0037,0.9832,0.0005,0.0198,1,1,0.9679,10
user5,midair,long,10_0,-0.1839,0.9610,-0.3232,0.1892,0.5704,0.3311,-0.7275,0.0045,0.0523,-0.0031,0.9828,0.0005,0.0204,1,1,0.9843,10
user5,midair,long,10_0,-0.1840,0.9612,-0.3234,0.1892,0.5703,0.3311,-0.7276,0.0042,0.0523,-0.0024,0.9825,0.0005,0.0211,1,1,1.0011,10
user5,midair,long,10_0,-0.1841,0.9615,-0.3235,0.1899,0.5705,0.3306,-0.7275,0.0042,0.0523,-0.0018,0.9825,0.0005,0.0217,1,1,1.0183,10
user5,midair,long,10_0,-0.1842,0.9619,-0.3237,0.1903,0.5707,0.3302,-0.7274,0.0042,0.0523,-0.0010,0.9826,0.0005,0.0225,1,1,1.0342,10
user5,midair,long,10_0,-0.1843,0.9622,-0.3239,0.1907,0.5709,0.3297,-0.7273,0.0043,0.0524,-0.0002,0.9827,0.0005,0.0233,1,1,1.0511,10
user5,midair,long,10_0,-0.1844,0.9625,-0.3241,0.1914,0.5712,0.3289,-0.7273,0.0046,0.0526,0.0006,0.9829,0.0005,0.0241,1,1,1.0679,10
user5,midair,long,10_0,-0.1845,0.9629,-0.3242,0.1919,0.5715,0.3283,-0.7272,0.0047,0.0529,0.0016,0.9830,0.0005,0.0251,1,1,1.0845,10
user5,midair,long,10_0,-0.1846,0.9632,-0.3244,0.1922,0.5719,0.3278,-0.7271,0.0047,0.0532,0.0024,0.9830,0.0005,0.0259,1,1,1.1009,10
user5,midair,long,10_0,-0.1847,0.9636,-0.3245,0.1925,0.5722,0.3272,-0.7270,0.0046,0.0536,0.0033,0.9829,0.0005,0.0268,1,1,1.1177,10
user5,midair,long,10_0,-0.1848,0.9639,-0.3246,0.1927,0.5725,0.3266,-0.7269,0.0045,0.0540,0.0040,0.9828,0.0005,0.0275,1,1,1.1334,10
user5,midair,long,10_0,-0.1849,0.9643,-0.3247,0.1927,0.5728,0.3263,-0.7269,0.0042,0.0545,0.0046,0.9825,0.0005,0.0281,1,1,1.1511,10
user5,midair,long,10_0,-0.1850,0.9646,-0.3248,0.1929,0.5731,0.3256,-0.7269,0.0037,0.0550,0.0049,0.9821,0.0005,0.0284,1,1,1.1677,10
user5,midair,long,10_0,-0.1850,0.9649,-0.3249,0.1932,0.5735,0.3248,-0.7268,0.0032,0.0554,0.0051,0.9816,0.0005,0.0286,1,1,1.1842,10
user5,midair,long,10_0,-0.1851,0.9653,-0.3250,0.1922,0.5742,0.3243,-0.7268,0.0026,0.0557,0.0047,0.9816,0.0005,0.0286,1,0,1.2216,10
user5,midair,long,10_0,-0.1852,0.9657,-0.3250,0.1913,0.5749,0.3238,-0.7267,0.0020,0.0560,0.0044,0.9816,0.0005,0.0286,1,0,1.2240,10
user5,midair,long,10_0,-0.1853,0.9661,-0.3251,0.1908,0.5755,0.3231,-0.7266,0.0015,0.0561,0.0038,0.9816,0.0005,0.0286,1,0,1.2356,10
user5,midair,long,10_0,-0.1853,0.9664,-0.3252,0.1905,0.5761,0.3225,-0.7265,0.0011,0.0562,0.0033,0.9816,0.0005,0.0286,1,0,1.2512,10
user5,midair,long,10_0,-0.1854,0.9668,-0.3252,0.1906,0.5764,0.3218,-0.7265,0.0007,0.0563,0.0026,0.9816,0.0005,0.0286,1,0,1.2680,10
user5,midair,long,10_0,-0.1854,0.9671,-0.3252,0.1909,0.5768,0.3210,-0.7265,0.0005,0.0563,0.0020,0.9816,0.0005,0.0286,1,0,1.2843,10
user5,midair,long,10_0,-0.1854,0.9675,-0.3253,0.1914,0.5770,0.3202,-0.7266,0.0003,0.0564,0.0014,0.9816,0.0005,0.0286,1,0,1.3014,10
user5,midair,long,10_0,-0.1854,0.9678,-0.3253,0.1918,0.5772,0.3193,-0.7267,0.0001,0.0565,0.0008,0.9816,0.0005,0.0286,1,0,1.3178,10
user5,midair,long,10_0,-0.1854,0.9682,-0.3253,0.1924,0.5773,0.3182,-0.7269,0.0001,0.0567,0.0002,0.9816,0.0005,0.0286,1,0,1.3360,10
user5,midair,long,10_0,-0.1854,0.9686,-0.3254,0.1930,0.5776,0.3172,-0.7270,0.0001,0.0569,-0.0004,0.9816,0.0005,0.0286,1,0,1.3510,10
user5,midair,long,10_0,-0.1854,0.9689,-0.3254,0.1937,0.5777,0.3161,-0.7272,0.0001,0.0572,-0.0009,0.9816,0.0005,0.0286,1,0,1.3683,10
user5,midair,long,10_0,-0.1853,0.9693,-0.3254,0.1945,0.5777,0.3151,-0.7275,0.0001,0.0575,-0.0014,0.9816,0.0005,0.0286,1,0,1.3843,10
user5,midair,long,10_0,-0.1852,0.9697,-0.3255,0.1954,0.5778,0.3140,-0.7276,0.0002,0.0579,-0.0019,0.9816,0.0005,0.0286,1,0,1.4013,10
user5,midair,long,10_0,-0.1852,0.9701,-0.3255,0.1962,0.5779,0.3128,-0.7278,0.0002,0.0584,-0.0024,0.9816,0.0005,0.0286,1,0,1.4177,10
user5,midair,long,10_0,-0.1851,0.9704,-0.3255,0.1969,0.5780,0.3117,-0.7280,0.0002,0.0589,-0.0029,0.9816,0.0005,0.0286,1,0,1.4335,10
user5,midair,long,10_0,-0.1850,0.9708,-0.3255,0.1976,0.5782,0.3106,-0.7281,0.0002,0.0595,-0.0033,0.9816,0.0005,0.0286,1,0,1.4510,10
user5,midair,long,10_0,-0.1848,0.9712,-0.3256,0.1983,0.5783,0.3093,-0.7284,0.0002,0.0601,-0.0037,0.9816,0.0005,0.0286,1,0,1.4677,10
