user_id, trial_type, target_distance, target_start_pos, sw_pos_x, sw_pos_y, sw_pos_z, sw_rot_x, sw_rot_y, sw_rot_z, sw_rot_w, finger_relative_pos_x, finger_relative_pos_y, finger_relative_pos_z, target_local_x, target_local_y, target_local_z, nr_of_clutches, is_panning, timestamp, task_number
user5,midair,short,2_0,-0.1411,1.0101,-0.3939,0.2227,0.6200,0.3387,-0.6718,0.0108,0.0794,0.0037,0.2000,0.0005,0.0000,0,0,1.7437,8
user5,midair,short,2_0,-0.1415,1.0101,-0.3940,0.2224,0.6203,0.3386,-0.6716,0.0119,0.0791,0.0036,0.2000,0.0005,0.0000,0,0,1.7699,8
user5,midair,short,2_0,-0.1418,1.0101,-0.3940,0.2222,0.6206,0.3385,-0.6715,0.0130,0.0787,0.0036,0.2000,0.0005,0.0000,0,0,1.7720,8
user5,midair,short,2_0,-0.1421,1.0101,-0.3940,0.2220,0.6210,0.3384,-0.6713,0.0140,0.0784,0.0035,0.2000,0.0005,0.0000,0,0,1.7852,8
user5,midair,short,2_0,-0.1424,1.0101,-0.3941,0.2218,0.6214,0.3383,-0.6710,0.0151,0.0780,0.0035,0.2000,0.0005,0.0000,0,0,1.8020,8
user5,midair,short,2_0,-0.1427,1.0101,-0.3941,0.2215,0.6218,0.3382,-0.6707,0.0161,0.0776,0.0034,0.2000,0.0005,0.0000,0,0,1.8178,8
user5,midair,short,2_0,-0.1429,1.0102,-0.3941,0.2213,0.6223,0.3381,-0.6705,0.0171,0.0773,0.0034,0.2000,0.0005,0.0000,0,0,1.8354,8
user5,midair,short,2_0,-0.1432,1.0103,-0.3942,0.2212,0.6227,0.3379,-0.6701,0.0180,0.0769,0.0033,0.2000,0.0005,0.0000,0,0,1.8521,8
user5,midair,short,2_0,-0.1435,1.0104,-0.3942,0.2211,0.6232,0.3378,-0.6698,0.0190,0.0764,0.0033,0.2000,0.0005,0.0000,0,0,1.8687,8
user5,midair,short,2_0,-0.1438,1.0105,-0.3942,0.2210,0.6236,0.3377,-0.6695,0.0199,0.0760,0.0032,0.2000,0.0005,0.0000,0,0,1.8861,8
user5,midair,short,2_0,-0.1440,1.0106,-0.3943,0.2210,0.6239,0.3375,-0.6693,0.0208,0.0755,0.0031,0.2000,0.0005,0.0000,0,0,1.9018,8
user5,midair,short,2_0,-0.1443,1.0108,-0.3943,0.2210,0.6243,0.3373,-0.6691,0.0216,0.0751,0.0030,0.2000,0.0005,0.0000,0,0,1.9180,8
user5,midair,short,2_0,-0.1445,1.0109,-0.3943,0.2209,0.6246,0.3371,-0.6689,0.0224,0.0746,0.0028,0.2000,0.0005,0.0000,0,0,1.9354,8
user5,midair,short,2_0,-0.1448,1.0111,-0.3943,0.2209,0.6249,0.3369,-0.6688,0.0232,0.0742,0.0027,0.2000,0.0005,0.0000,0,0,1.9518,8
user5,midair,short,2_0,-0.1450,1.0113,-0.3942,0.2210,0.6251,0.3367,-0.6686,0.0239,0.0737,0.0025,0.2000,0.0005,0.0000,0,0,1.9688,8
user5,midair,short,2_0,-0.1453,1.0115,-0.3942,0.2211,0.6253,0.3364,-0.6685,0.0245,0.0732,0.0024,0.2000,0.0005,0.0000,0,0,1.9856,8
user5,midair,short,2_0,-0.1455,1.0117,-0.3941,0.2211,0.6256,0.3363,-0.6683,0.0250,0.0728,0.0022,0.2000,0.0005,0.0000,0,0,2.0018,8
user5,midair,short,2_0,-0.1457,1.0119,-0.3940,0.2214,0.6258,0.3361,-0.6682,0.0255,0.0723,0.0021,0.2000,0.0005,0.0000,0,0,2.0179,8
user5,midair,short,2_0,-0.1459,1.0122,-0.3939,0.2216,0.6259,0.3359,-0.6680,0.0258,0.0717,0.0020,0.2000,0.0005,0.0000,0,0,2.0353,8
user5,midair,short,2_0,-0.1461,1.0124,-0.3938,0.2218,0.6261,0.3357,-0.6679,0.0261,0.0712,0.0018,0.2000,0.0005,0.0000,0,0,2.0517,8
user5,midair,short,2_0,-0.1463,1.0127,-0.3936,0.2221,0.6261,0.3355,-0.6679,0.0261,0.0707,0.0017,0.2000,0.0005,0.0000,0,0,2.0687,8
user5,midair,short,2_0,-0.1465,1.0129,-0.3933,0.2223,0.6261,0.3355,-0.6678,0.0261,0.0702,0.0016,0.2000,0.0005,0.0000,0,0,2.0853,8
user5,midair,short,2_0,-0.1466,1.0132,-0.3930,0.2225,0.6260,0.3355,-0.6678,0.0260,0.0698,0.0015,0.2000,0.0005,0.0000,0,0,2.1021,8
user5,midair,short,2_0,-0.1468,1.0134,-0.3927,0.2225,0.6258,0.3358,-0.6679,0.0257,0.0693,0.0015,0.2000,0.0005,0.0000,0,0,2.1178,8
user5,midair,short,2_0,-0.1469,1.0137,-0.3923,0.2230,0.6256,0.3359,-0.6680,0.0254,0.0688,0.0014,0.2000,0.0005,0.0000,0,0,2.1353,8
user5,midair,short,2_0,-0.1471,1.0139,-0.3919,0.2231,0.6253,0.3359,-0.6682,0.0248,0.0683,0.0012,0.2000,0.0005,0.0000,0,0,2.1519,8
user5,midair,short,2_0,-0.1472,1.0143,-0.3915,0.2233,0.6250,0.3358,-0.6684,0.0242,0.0678,0.0010,0.2000,0.0005,0.0000,0,0,2.1690,8
user5,midair,short,2_0,-0.1473,1.0146,-0.3910,0.2233,0.6248,0.3359,-0.6686,0.0234,0.0673,0.0008,0.2000,0.0005,0.0000,0,0,2.1854,8
user5,midair,short,2_0,-0.1475,1.0149,-0.3904,0.2232,0.6244,0.3360,-0.6688,0.0225,0.0668,0.0006,0.2000,0.0005,0.0000,0,0,2.2018,8
user5,midair,short,2_0,-0.1476,1.0152,-0.3899,0.2232,0.6241,0.3361,-0.6691,0.0213,0.0664,0.0003,0.2000,0.0005,0.0000,0,0,2.2179,8
user5,midair,short,2_0,-0.1477,1.0155,-0.3892,0.2233,0.6236,0.3363,-0.6694,0.0201,0.0660,0.0001,0.2000,0.0005,0.0000,0,0,2.2354,8
user5,midair,short,2_0,-0.1478,1.0158,-0.3886,0.2236,0.6231,0.3364,-0.6698,0.0188,0.0655,-0.0002,0.2000,0.0005,0.0000,0,0,2.2521,8
user5,midair,short,2_0,-0.1479,1.0161,-0.3879,0.2240,0.6225,0.3365,-0.6701,0.0174,0.0651,-0.0005,0.2000,0.0005,0.0000,0,0,2.2700,8
user5,midair,short,2_0,-0.1479,1.0165,-0.3872,0.2243,0.6221,0.3365,-0.6704,0.0159,0.0647,-0.0008,0.2000,0.0005,0.0000,0,0,2.2853,8
user5,midair,short,2_0,-0.1480,1.0168,-0.3864,0.2247,0.6215,0.3365,-0.6708,0.0144,0.0643,-0.0011,0.2000,0.0005,0.0000,0,0,2.3024,8
user5,midair,short,2_0,-0.1480,1.0171,-0.3856,0.2253,0.6209,0.3364,-0.6712,0.0127,0.0638,-0.0014,0.2000,0.0005,0.0000,0,0,2.3180,8
user5,midair,short,2_0,-0.1480,1.0175,-0.3848,0.2258,0.6204,0.3362,-0.6716,0.0110,0.0634,-0.0016,0.2000,0.0005,0.0000,0,0,2.3353,8
user5,midair,short,2_0,-0.1480,1.0178,-0.3840,0.2265,0.6197,0.3359,-0.6722,0.0093,0.0630,-0.0019,0.2000,0.0005,0.0000,0,0,2.3522,8
user5,midair,short,2_0,-0.1479,1.0182,-0.3832,0.2268,0.6190,0.3357,-0.6729,0.0075,0.0625,-0.0022,0.2000,0.0005,0.0000,0,0,2.3699,8
