user_id, trial_type, target_distance, target_start_pos, sw_pos_x, sw_pos_y, sw_pos_z, sw_rot_x, sw_rot_y, sw_rot_z, sw_rot_w, finger_relative_pos_x, finger_relative_pos_y, finger_relative_pos_z, target_local_x, target_local_y, target_local_z, nr_of_clutches, is_panning, timestamp, task_number
user5,touch+inertia,medium,-5_-5,-0.0324,0.8743,-0.2313,0.2076,0.5702,0.0692,-0.7918,0.0290,0.0309,-0.0184,-0.4873,0.0005,-0.4869,1,1,1.5907,4
user5,touch+inertia,medium,-5_-5,-0.0323,0.8742,-0.2313,0.2080,0.5697,0.0698,-0.7920,0.0282,0.0321,-0.0165,-0.4873,0.0005,-0.4869,1,1,1.5942,4
user5,touch+inertia,medium,-5_-5,-0.0321,0.8741,-0.2313,0.2085,0.5692,0.0702,-0.7923,0.0274,0.0334,-0.0147,-0.4873,0.0005,-0.4869,1,1,1.5966,4
user5,touch+inertia,medium,-5_-5,-0.0320,0.8741,-0.2313,0.2089,0.5687,0.0707,-0.7925,0.0265,0.0347,-0.0130,-0.4842,0.0005,-0.4810,1,0,1.6121,4
user5,touch+inertia,medium,-5_-5,-0.0319,0.8740,-0.2312,0.2093,0.5682,0.0712,-0.7927,0.0256,0.0360,-0.0114,-0.4842,0.0005,-0.4810,1,0,1.6225,4
user5,touch+inertia,medium,-5_-5,-0.0318,0.8739,-0.2312,0.2096,0.5677,0.0718,-0.7929,0.0246,0.0373,-0.0099,-0.4842,0.0005,-0.4810,1,0,1.6371,4
user5,touch+inertia,medium,-5_-5,-0.0316,0.8738,-0.2312,0.2098,0.5672,0.0724,-0.7931,0.0237,0.0386,-0.0085,-0.4842,0.0005,-0.4810,1,0,1.6556,4
user5,touch+inertia,medium,-5_-5,-0.0315,0.8738,-0.2312,0.2101,0.5667,0.0729,-0.7933,0.0227,0.0398,-0.0072,-0.4842,0.0005,-0.4810,1,0,1.6717,4
user5,touch+inertia,medium,-5_-5,-0.0314,0.8737,-0.2311,0.2103,0.5663,0.0732,-0.7936,0.0215,0.0409,-0.0063,-0.4818,0.0005,-0.4764,0,0,1.6898,4
user5,touch+inertia,medium,-5_-5,-0.0313,0.8736,-0.2311,0.2106,0.5658,0.0735,-0.7938,0.0204,0.0419,-0.0054,-0.4818,0.0005,-0.4764,0,0,1.7047,4
user5,touch+inertia,medium,-5_-5,-0.0313,0.8735,-0.2311,0.2107,0.5653,0.0735,-0.7941,0.0192,0.0429,-0.0047,-0.4818,0.0005,-0.4764,0,0,1.7217,4
user5,touch+inertia,medium,-5_-5,-0.0312,0.8735,-0.2312,0.2110,0.5651,0.0734,-0.7942,0.0178,0.0435,-0.0046,-0.4804,0.0005,-0.4737,0,0,1.7370,4
