user_id, trial_type, target_distance, target_start_pos, sw_pos_x, sw_pos_y, sw_pos_z, sw_rot_x, sw_rot_y, sw_rot_z, sw_rot_w, finger_relative_pos_x, finger_relative_pos_y, finger_relative_pos_z, target_local_x, target_local_y, target_local_z, nr_of_clutches, is_panning, timestamp, task_number
user6,touch+inertia,long,-10_-10,0.1175,0.9152,-0.2801,0.0340,0.0451,0.0138,-0.9983,0.0285,0.0683,-0.0020,-1.0000,0.0005,-1.0000,0,0,0.9199,2
user6,touch+inertia,long,-10_-10,0.1177,0.9151,-0.2801,0.0342,0.0438,0.0141,-0.9984,0.0275,0.0674,-0.0017,-1.0000,0.0005,-1.0000,0,0,0.9282,2
user6,touch+inertia,long,-10_-10,0.1179,0.9151,-0.2800,0.0344,0.0426,0.0143,-0.9984,0.0265,0.0667,-0.0013,-1.0000,0.0005,-1.0000,0,0,0.9294,2
user6,touch+inertia,long,-10_-10,0.1181,0.9151,-0.2800,0.0346,0.0415,0.0145,-0.9984,0.0256,0.0659,-0.0010,-1.0000,0.0005,-1.0000,0,0,0.9351,2
user6,touch+inertia,long,-10_-10,0.1182,0.9150,-0.2799,0.0348,0.0404,0.0146,-0.9985,0.0247,0.0653,-0.0008,-1.0000,0.0005,-1.0000,0,0,0.9523,2
user6,touch+inertia,long,-10_-10,0.1184,0.9150,-0.2799,0.0349,0.0396,0.0148,-0.9985,0.0237,0.0647,-0.0006,-1.0000,0.0005,-1.0000,0,0,0.9689,2
user6,touch+inertia,long,-10_-10,0.1185,0.9149,-0.2798,0.0351,0.0387,0.0150,-0.9985,0.0227,0.0641,-0.0004,-1.0000,0.0005,-1.0000,0,0,0.9869,2
user6,touch+inertia,long,-10_-10,0.1186,0.9149,-0.2798,0.0352,0.0377,0.0153,-0.9986,0.0217,0.0635,-0.0003,-1.0000,0.0005,-1.0000,0,0,1.0027,2
user6,touch+inertia,long,-10_-10,0.1187,0.9149,-0.2797,0.0352,0.0368,0.0154,-0.9986,0.0208,0.0629,-0.0001,-1.0000,0.0005,-1.0000,0,0,1.0208,2
user6,touch+inertia,long,-10_-10,0.1189,0.9149,-0.2796,0.0354,0.0359,0.0155,-0.9986,0.0198,0.0623,0.0000,-1.0000,0.0005,-1.0000,0,0,1.0386,2
user6,touch+inertia,long,-10_-10,0.1190,0.9149,-0.2796,0.0354,0.0351,0.0157,-0.9986,0.0188,0.0616,0.0002,-1.0000,0.0005,-1.0000,0,0,1.0539,2
user6,touch+inertia,long,-10_-10,0.1191,0.9149,-0.2795,0.0355,0.0343,0.0159,-0.9987,0.0178,0.0609,0.0003,-1.0000,0.0005,-1.0000,0,0,1.0706,2
user6,touch+inertia,long,-10_-10,0.1191,0.9149,-0.2794,0.0356,0.0336,0.0159,-0.9987,0.0169,0.0602,0.0004,-1.0000,0.0005,-1.0000,0,0,1.0874,2
user6,touch+inertia,long,-10_-10,0.1192,0.9149,-0.2794,0.0356,0.0330,0.0161,-0.9987,0.0160,0.0594,0.0005,-1.0000,0.0005,-1.0000,0,0,1.1027,2
user6,touch+inertia,long,-10_-10,0.1193,0.9150,-0.2793,0.0358,0.0322,0.0161,-0.9987,0.0151,0.0585,0.0006,-1.0000,0.0005,-1.0000,0,0,1.1208,2
user6,touch+inertia,long,-10_-10,0.1194,0.9150,-0.2793,0.0360,0.0315,0.0162,-0.9987,0.0142,0.0577,0.0008,-1.0000,0.0005,-1.0000,0,0,1.1371,2
user6,touch+inertia,long,-10_-10,0.1195,0.9150,-0.2792,0.0361,0.0309,0.0162,-0.9987,0.0134,0.0569,0.0009,-1.0000,0.0005,-1.0000,0,0,1.1536,2
user6,touch+inertia,long,-10_-10,0.1196,0.9151,-0.2792,0.0363,0.0303,0.0162,-0.9988,0.0127,0.0560,0.0009,-1.0000,0.0005,-1.0000,0,0,1.1702,2
user6,touch+inertia,long,-10_-10,0.1196,0.9151,-0.2791,0.0365,0.0297,0.0162,-0.9988,0.0120,0.0549,0.0009,-1.0000,0.0005,-1.0000,0,0,1.1878,2
user6,touch+inertia,long,-10_-10,0.1197,0.9152,-0.2790,0.0368,0.0295,0.0162,-0.9988,0.0113,0.0538,0.0010,-1.0000,0.0005,-1.0000,0,0,1.2026,2
user6,touch+inertia,long,-10_-10,0.1197,0.9153,-0.2790,0.0371,0.0292,0.0162,-0.9988,0.0106,0.0527,0.0010,-1.0000,0.0005,-1.0000,0,0,1.2202,2
user6,touch+inertia,long,-10_-10,0.1197,0.9154,-0.2789,0.0371,0.0291,0.0162,-0.9988,0.0099,0.0517,0.0010,-1.0000,0.0005,-1.0000,0,0,1.2369,2
user6,touch+inertia,long,-10_-10,0.1198,0.9154,-0.2788,0.0372,0.0289,0.0163,-0.9988,0.0093,0.0507,0.0010,-1.0000,0.0005,-1.0000,0,0,1.2539,2
user6,touch+inertia,long,-10_-10,0.1197,0.9155,-0.2786,0.0365,0.0289,0.0158,-0.9988,0.0091,0.0497,0.0015,-1.0000,0.0005,-1.0000,1,1,1.2703,2
user6,touch+inertia,long,-10_-10,0.1197,0.9156,-0.2784,0.0359,0.0289,0.0153,-0.9988,0.0089,0.0488,0.0019,-1.0000,0.0005,-1.0000,1,1,1.2869,2
