user_id, trial_type, target_distance, target_start_pos, sw_pos_x, sw_pos_y, sw_pos_z, sw_rot_x, sw_rot_y, sw_rot_z, sw_rot_w, finger_relative_pos_x, finger_relative_pos_y, finger_relative_pos_z, target_local_x, target_local_y, target_local_z, nr_of_clutches, is_panning, timestamp, task_number
user6,touch+inertia,long,0_10,0.1557,0.9048,-0.3221,-0.0478,0.0669,0.0274,-0.9962,0.0203,0.0598,0.0128,-0.0002,0.0005,0.0004,23,0,0.0318,23
user6,touch+inertia,long,0_10,0.1557,0.9048,-0.3221,-0.0479,0.0670,0.0269,-0.9962,0.0204,0.0594,0.0128,-0.0002,0.0005,0.0004,23,0,0.0366,23
user6,touch+inertia,long,0_10,0.1557,0.9048,-0.3221,-0.0481,0.0670,0.0264,-0.9962,0.0205,0.0590,0.0129,-0.0002,0.0005,0.0004,23,0,0.0374,23
user6,touch+inertia,long,0_10,0.1557,0.9048,-0.3221,-0.0482,0.0670,0.0260,-0.9963,0.0207,0.0587,0.0130,-0.0002,0.0005,0.0004,23,0,0.0516,23
user6,touch+inertia,long,0_10,0.1557,0.9048,-0.3221,-0.0483,0.0670,0.0255,-0.9963,0.0208,0.0584,0.0131,-0.0002,0.0005,0.0004,23,0,0.0682,23
user6,touch+inertia,long,0_10,0.1557,0.9048,-0.3221,-0.0483,0.0670,0.0251,-0.9963,0.0209,0.0580,0.0131,-0.0002,0.0005,0.0004,23,0,0.0859,23
user6,touch+inertia,long,0_10,0.1557,0.9047,-0.3221,-0.0484,0.0670,0.0247,-0.9963,0.0210,0.0577,0.0132,0.0000,0.0005,1.0000,0,0,0.1033,23
user6,touch+inertia,long,0_10,0.1557,0.9047,-0.3221,-0.0484,0.0670,0.0243,-0.9963,0.0211,0.0574,0.0134,0.0000,0.0005,1.0000,0,0,0.1199,23
user6,touch+inertia,long,0_10,0.1557,0.9047,-0.3221,-0.0484,0.0671,0.0239,-0.9963,0.0212,0.0571,0.0135,0.0000,0.0005,1.0000,0,0,0.1373,23
user6,touch+inertia,long,0_10,0.1557,0.9047,-0.3222,-0.0485,0.0669,0.0240,-0.9963,0.0212,0.0569,0.0136,0.0000,0.0005,1.0000,0,0,0.1531,23
user6,touch+inertia,long,0_10,0.1558,0.9047,-0.3222,-0.0485,0.0667,0.0241,-0.9963,0.0212,0.0567,0.0138,0.0000,0.0005,1.0000,0,0,0.1697,23
user6,touch+inertia,long,0_10,0.1558,0.9047,-0.3222,-0.0486,0.0667,0.0241,-0.9963,0.0212,0.0564,0.0140,0.0000,0.0005,1.0000,0,0,0.1873,23
user6,touch+inertia,long,0_10,0.1558,0.9046,-0.3222,-0.0486,0.0666,0.0241,-0.9963,0.0213,0.0562,0.0141,0.0000,0.0005,1.0000,0,0,0.2026,23
user6,touch+inertia,long,0_10,0.1558,0.9046,-0.3222,-0.0486,0.0665,0.0242,-0.9963,0.0213,0.0560,0.0142,0.0000,0.0005,1.0000,0,0,0.2198,23
user6,touch+inertia,long,0_10,0.1558,0.9046,-0.3222,-0.0487,0.0663,0.0243,-0.9963,0.0213,0.0558,0.0144,0.0000,0.0005,1.0000,0,0,0.2367,23
user6,touch+inertia,long,0_10,0.1558,0.9046,-0.3222,-0.0487,0.0663,0.0244,-0.9963,0.0213,0.0555,0.0145,0.0000,0.0005,1.0000,0,0,0.2534,23
user6,touch+inertia,long,0_10,0.1558,0.9045,-0.3223,-0.0488,0.0662,0.0248,-0.9963,0.0213,0.0553,0.0146,0.0000,0.0005,1.0000,0,0,0.2697,23
user6,touch+inertia,long,0_10,0.1558,0.9045,-0.3223,-0.0488,0.0662,0.0247,-0.9963,0.0214,0.0551,0.0147,0.0000,0.0005,1.0000,0,0,0.2861,23
user6,touch+inertia,long,0_10,0.1558,0.9045,-0.3223,-0.0489,0.0661,0.0249,-0.9963,0.0214,0.0548,0.0148,0.0000,0.0005,1.0000,0,0,0.3038,23
user6,touch+inertia,long,0_10,0.1558,0.9045,-0.3223,-0.0489,0.0660,0.0251,-0.9963,0.0215,0.0546,0.0149,0.0000,0.0005,1.0000,0,0,0.3200,23
user6,touch+inertia,long,0_10,0.1558,0.9045,-0.3223,-0.0490,0.0659,0.0252,-0.9963,0.0215,0.0544,0.0149,0.0000,0.0005,1.0000,0,0,0.3369,23
