user_id, trial_type, target_distance, target_start_pos, sw_pos_x, sw_pos_y, sw_pos_z, sw_rot_x, sw_rot_y, sw_rot_z, sw_rot_w, finger_relative_pos_x, finger_relative_pos_y, finger_relative_pos_z, target_local_x, target_local_y, target_local_z, nr_of_clutches, is_panning, timestamp, task_number
user7,touch+inertia,medium,-5_0,0.2918,0.8683,-0.3771,-0.0203,0.2124,-0.0103,-0.9769,0.0284,0.0708,-0.0069,-0.5000,0.0005,0.0000,0,0,0.4027,14
user7,touch+inertia,medium,-5_0,0.2918,0.8683,-0.3771,-0.0203,0.2123,-0.0103,-0.9769,0.0270,0.0703,-0.0072,-0.5000,0.0005,0.0000,0,0,0.4060,14
user7,touch+inertia,medium,-5_0,0.2919,0.8683,-0.3771,-0.0202,0.2122,-0.0103,-0.9770,0.0258,0.0699,-0.0075,-0.5000,0.0005,0.0000,0,0,0.4080,14
user7,touch+inertia,medium,-5_0,0.2919,0.8683,-0.3771,-0.0203,0.2122,-0.0104,-0.9770,0.0248,0.0695,-0.0079,-0.5000,0.0005,0.0000,0,0,0.4191,14
user7,touch+inertia,medium,-5_0,0.2919,0.8683,-0.3771,-0.0203,0.2122,-0.0105,-0.9770,0.0238,0.0692,-0.0082,-0.5000,0.0005,0.0000,0,0,0.4351,14
user7,touch+inertia,medium,-5_0,0.2919,0.8683,-0.3771,-0.0204,0.2123,-0.0109,-0.9769,0.0232,0.0691,-0.0085,-0.5000,0.0005,0.0000,0,0,0.4523,14
user7,touch+inertia,medium,-5_0,0.2918,0.8683,-0.3771,-0.0205,0.2123,-0.0113,-0.9769,0.0229,0.0692,-0.0088,-0.5000,0.0005,0.0000,0,0,0.4690,14
user7,touch+inertia,medium,-5_0,0.2918,0.8684,-0.3771,-0.0207,0.2124,-0.0123,-0.9769,0.0228,0.0694,-0.0090,-0.5000,0.0005,0.0000,0,0,0.4856,14
user7,touch+inertia,medium,-5_0,0.2918,0.8684,-0.3771,-0.0207,0.2125,-0.0126,-0.9769,0.0230,0.0699,-0.0092,-0.5000,0.0005,0.0000,0,0,0.5023,14
user7,touch+inertia,medium,-5_0,0.2917,0.8683,-0.3771,-0.0209,0.2128,-0.0128,-0.9768,0.0234,0.0706,-0.0094,-0.5000,0.0005,0.0000,0,0,0.5189,14
user7,touch+inertia,medium,-5_0,0.2917,0.8683,-0.3771,-0.0210,0.2130,-0.0130,-0.9767,0.0240,0.0713,-0.0096,-0.5000,0.0005,0.0000,0,0,0.5351,14
user7,touch+inertia,medium,-5_0,0.2916,0.8683,-0.3771,-0.0212,0.2134,-0.0132,-0.9767,0.0248,0.0721,-0.0097,-0.5000,0.0005,0.0000,0,0,0.5524,14
user7,touch+inertia,medium,-5_0,0.2916,0.8683,-0.3771,-0.0214,0.2136,-0.0133,-0.9766,0.0257,0.0730,-0.0098,-0.5000,0.0005,0.0000,0,0,0.5690,14
user7,touch+inertia,medium,-5_0,0.2915,0.8683,-0.3771,-0.0216,0.2138,-0.0134,-0.9765,0.0267,0.0739,-0.0100,-0.5000,0.0005,0.0000,0,0,0.5857,14
user7,touch+inertia,medium,-5_0,0.2915,0.8683,-0.3771,-0.0218,0.2140,-0.0135,-0.9765,0.0276,0.0748,-0.0101,-0.5000,0.0005,0.0000,0,0,0.6023,14
user7,touch+inertia,medium,-5_0,0.2914,0.8683,-0.3771,-0.0220,0.2141,-0.0136,-0.9765,0.0282,0.0756,-0.0101,-0.5000,0.0005,0.0000,0,0,0.6191,14
user7,touch+inertia,medium,-5_0,0.2914,0.8682,-0.3771,-0.0222,0.2141,-0.0136,-0.9765,0.0287,0.0763,-0.0100,-0.5000,0.0005,0.0000,0,0,0.6351,14
user7,touch+inertia,medium,-5_0,0.2914,0.8682,-0.3771,-0.0223,0.2141,-0.0138,-0.9765,0.0290,0.0769,-0.0099,-0.5000,0.0005,0.0000,0,0,0.6535,14
user7,touch+inertia,medium,-5_0,0.2915,0.8683,-0.3771,-0.0223,0.2140,-0.0139,-0.9765,0.0290,0.0774,-0.0096,-0.5000,0.0005,0.0000,0,0,0.6706,14
user7,touch+inertia,medium,-5_0,0.2915,0.8683,-0.3770,-0.0223,0.2141,-0.0148,-0.9765,0.0287,0.0775,-0.0094,-0.5000,0.0005,0.0000,0,0,0.6869,14
