user_id, trial_type, target_distance, target_start_pos, sw_pos_x, sw_pos_y, sw_pos_z, sw_rot_x, sw_rot_y, sw_rot_z, sw_rot_w, finger_relative_pos_x, finger_relative_pos_y, finger_relative_pos_z, target_local_x, target_local_y, target_local_z, nr_of_clutches, is_panning, timestamp, task_number
user8,touch+inertia,long,-10_0,-0.1027,0.7830,-0.2758,-0.0698,0.3027,0.0658,-0.9483,0.0285,0.0572,0.0113,-1.0000,0.0005,0.0000,0,0,1.1543,3
user8,touch+inertia,long,-10_0,-0.1027,0.7830,-0.2758,-0.0697,0.3026,0.0657,-0.9483,0.0271,0.0571,0.0112,-1.0000,0.0005,0.0000,0,0,1.1688,3
user8,touch+inertia,long,-10_0,-0.1027,0.7830,-0.2758,-0.0697,0.3024,0.0657,-0.9483,0.0259,0.0570,0.0110,-1.0000,0.0005,0.0000,0,0,1.1702,3
user8,touch+inertia,long,-10_0,-0.1027,0.7829,-0.2758,-0.0697,0.3023,0.0659,-0.9484,0.0246,0.0569,0.0109,-1.0000,0.0005,0.0000,0,0,1.1887,3
user8,touch+inertia,long,-10_0,-0.1027,0.7829,-0.2759,-0.0698,0.3022,0.0660,-0.9484,0.0234,0.0568,0.0107,-1.0000,0.0005,0.0000,0,0,1.2049,3
user8,touch+inertia,long,-10_0,-0.1028,0.7829,-0.2759,-0.0698,0.3022,0.0659,-0.9484,0.0223,0.0566,0.0106,-1.0000,0.0005,0.0000,0,0,1.2214,3
user8,touch+inertia,long,-10_0,-0.1028,0.7829,-0.2759,-0.0697,0.3023,0.0656,-0.9484,0.0214,0.0564,0.0104,-1.0000,0.0005,0.0000,0,0,1.2389,3
user8,touch+inertia,long,-10_0,-0.1028,0.7828,-0.2759,-0.0698,0.3022,0.0656,-0.9484,0.0204,0.0562,0.0102,-1.0000,0.0005,0.0000,0,0,1.2536,3
user8,touch+inertia,long,-10_0,-0.1028,0.7828,-0.2759,-0.0698,0.3021,0.0656,-0.9484,0.0196,0.0560,0.0101,-1.0000,0.0005,0.0000,0,0,1.2714,3
user8,touch+inertia,long,-10_0,-0.1028,0.7828,-0.2759,-0.0699,0.3020,0.0657,-0.9485,0.0187,0.0558,0.0099,-1.0000,0.0005,0.0000,0,0,1.2881,3
user8,touch+inertia,long,-10_0,-0.1028,0.7828,-0.2759,-0.0699,0.3020,0.0657,-0.9485,0.0180,0.0556,0.0098,-1.0000,0.0005,0.0000,0,0,1.3050,3
user8,touch+inertia,long,-10_0,-0.1028,0.7828,-0.2760,-0.0700,0.3019,0.0656,-0.9485,0.0173,0.0555,0.0096,-1.0000,0.0005,0.0000,0,0,1.3214,3
user8,touch+inertia,long,-10_0,-0.1028,0.7828,-0.2760,-0.0700,0.3019,0.0656,-0.9485,0.0166,0.0554,0.0095,-1.0000,0.0005,0.0000,0,0,1.3391,3
user8,touch+inertia,long,-10_0,-0.1029,0.7827,-0.2760,-0.0701,0.3018,0.0655,-0.9485,0.0160,0.0553,0.0094,-1.0000,0.0005,0.0000,0,0,1.3538,3
user8,touch+inertia,long,-10_0,-0.1029,0.7827,-0.2760,-0.0702,0.3018,0.0654,-0.9485,0.0154,0.0552,0.0093,-1.0000,0.0005,0.0000,0,0,1.3715,3
user8,touch+inertia,long,-10_0,-0.1029,0.7827,-0.2760,-0.0703,0.3018,0.0654,-0.9485,0.0148,0.0551,0.0092,-1.0000,0.0005,0.0000,0,0,1.3880,3
user8,touch+inertia,long,-10_0,-0.1029,0.7827,-0.2760,-0.0703,0.3017,0.0653,-0.9486,0.0143,0.0550,0.0091,-1.0000,0.0005,0.0000,0,0,1.4048,3
user8,touch+inertia,long,-10_0,-0.1029,0.7827,-0.2760,-0.0703,0.3017,0.0653,-0.9486,0.0138,0.0549,0.0090,-1.0000,0.0005,0.0000,0,0,1.4213,3
user8,touch+inertia,long,-10_0,-0.1029,0.7827,-0.2760,-0.0704,0.3017,0.0652,-0.9486,0.0133,0.0548,0.0089,-1.0000,0.0005,0.0000,0,0,1.4393,3
user8,touch+inertia,long,-10_0,-0.1029,0.7827,-0.2760,-0.0705,0.3016,0.0652,-0.9486,0.0128,0.0547,0.0088,-1.0000,0.0005,0.0000,0,0,1.4537,3
user8,touch+inertia,long,-10_0,-0.1029,0.7826,-0.2760,-0.0705,0.3016,0.0654,-0.9486,0.0122,0.0546,0.0087,-1.0000,0.0005,0.0000,0,0,1.4714,3
user8,touch+inertia,long,-10_0,-0.1029,0.7826,-0.2760,-0.0705,0.3016,0.0653,-0.9486,0.0116,0.0544,0.0085,-1.0000,0.0005,0.0000,0,0,1.4881,3
user8,touch+inertia,long,-10_0,-0.1029,0.7826,-0.2760,-0.0705,0.3015,0.0661,-0.9486,0.0108,0.0543,0.0083,-1.0000,0.0005,0.0000,0,0,1.5050,3
user8,touch+inertia,long,-10_0,-0.1029,0.7826,-0.2760,-0.0705,0.3014,0.0659,-0.9486,0.0101,0.0540,0.0081,-1.0000,0.0005,0.0000,0,0,1.5216,3
user8,touch+inertia,long,-10_0,-0.1029,0.7825,-0.2760,-0.0706,0.3012,0.0668,-0.9486,0.0091,0.0535,0.0078,-1.0000,0.0005,0.0000,0,0,1.5398,3
user8,touch+inertia,long,-10_0,-0.1029,0.7825,-0.2760,-0.0707,0.3012,0.0663,-0.9486,0.0083,0.0529,0.0075,-1.0000,0.0005,0.0000,0,0,1.5546,3
user8,touch+inertia,long,-10_0,-0.1029,0.7826,-0.2760,-0.0708,0.3012,0.0659,-0.9486,0.0075,0.0522,0.0071,-1.0000,0.0005,0.0000,0,0,1.5718,3
user8,touch+inertia,long,-10_0,-0.1029,0.7826,-0.2760,-0.0709,0.3012,0.0655,-0.9487,0.0066,0.0515,0.0068,-1.0000,0.0005,0.0000,0,0,1.5884,3
user8,touch+inertia,long,-10_0,-0.1029,0.7825,-0.2760,-0.0711,0.3012,0.0651,-0.9487,0.0058,0.0507,0.0064,-1.0000,0.0005,0.0000,0,0,1.6048,3
user8,touch+inertia,long,-10_0,-0.1028,0.7825,-0.2760,-0.0712,0.3012,0.0647,-0.9487,0.0051,0.0500,0.0061,-1.0000,0.0005,0.0000,0,0,1.6216,3
user8,touch+inertia,long,-10_0,-0.1028,0.7825,-0.2760,-0.0712,0.3011,0.0643,-0.9487,0.0046,0.0493,0.0059,-1.0000,0.0005,0.0000,0,0,1.6402,3
user8,touch+inertia,long,-10_0,-0.1028,0.7825,-0.2760,-0.0713,0.3012,0.0648,-0.9487,0.0041,0.0486,0.0058,-1.0000,0.0005,0.0000,0,0,1.6544,3
user8,touch+inertia,long,-10_0,-0.1028,0.7825,-0.2760,-0.0713,0.3011,0.0651,-0.9487,0.0038,0.0480,0.0057,-1.0000,0.0005,0.0000,1,1,1.6720,3
user8,touch+inertia,long,-10_0,-0.1028,0.7825,-0.2760,-0.0713,0.3011,0.0654,-0.9487,0.0038,0.0473,0.0056,-1.0000,0.0005,0.0000,1,1,1.6887,3
