user_id,trial_type,target_distance,direction_axis,nr_of_clutches,completion_time,task_number
user1,midair,long,SW,4,18.6958,13
user1,midair,long,W,4,17.0749,23
user1,midair,long,NW,5,14.2264,18
user1,midair,long,S,2,12.9272,22
user1,midair,long,N,4,15.2104,15
user1,midair,long,SE,3,16.0436,7
user1,midair,long,E,2,12.6777,19
user1,midair,long,NE,3,15.2427,17
user1,midair,medium,SW,2,11.077300000000001,2
user1,midair,medium,W,1,6.7592,14
user1,midair,medium,NW,3,13.011,10
user1,midair,medium,S,2,9.5603,8
user1,midair,medium,N,3,10.994,5
user1,midair,medium,SE,3,11.8775,21
user1,midair,medium,E,2,8.8593,6
user1,midair,medium,NE,2,11.0422,16
user1,midair,short,SW,2,9.2104,9
user1,midair,short,W,1,6.255699999999999,0
user1,midair,short,NW,1,5.6263000000000005,11
user1,midair,short,S,1,5.476,20
user1,midair,short,N,1,8.1768,4
user1,midair,short,SE,1,5.958500000000001,1
user1,midair,short,E,1,6.492999999999999,3
user1,midair,short,NE,2,8.5779,12
user1,touch+inertia,long,SW,30,14.009,8
user1,touch+inertia,long,W,18,8.5854,3
user1,touch+inertia,long,NW,28,15.151200000000001,0
user1,touch+inertia,long,S,23,11.9157,9
user1,touch+inertia,long,N,24,12.857,20
user1,touch+inertia,long,SE,31,15.961,7
user1,touch+inertia,long,E,31,15.1603,17
user1,touch+inertia,long,NE,32,15.485800000000001,1
user1,touch+inertia,medium,SW,14,8.2737,18
user1,touch+inertia,medium,W,11,7.2522,4
user1,touch+inertia,medium,NW,17,10.427299999999999,2
user1,touch+inertia,medium,S,18,11.0753,15
user1,touch+inertia,medium,N,19,10.2599,5
user1,touch+inertia,medium,SE,22,13.4661,22
user1,touch+inertia,medium,E,13,9.0244,16
user1,touch+inertia,medium,NE,19,9.6009,6
user1,touch+inertia,short,SW,11,6.844200000000001,23
user1,touch+inertia,short,W,6,5.4097,13
user1,touch+inertia,short,NW,9,7.059399999999999,11
user1,touch+inertia,short,S,5,5.1206000000000005,12
user1,touch+inertia,short,N,9,6.8770999999999995,10
user1,touch+inertia,short,SE,6,5.9199,21
user1,touch+inertia,short,E,9,7.131399999999999,14
user1,touch+inertia,short,NE,8,7.026999999999999,19
user2,midair,long,SW,3,14.478,8
user2,midair,long,W,3,11.4593,11
user2,midair,long,NW,6,19.430500000000002,21
user2,midair,long,S,5,15.813800000000002,19
user2,midair,long,N,3,14.243300000000001,23
user2,midair,long,SE,3,16.077199999999998,20
user2,midair,long,E,3,12.110899999999999,4
user2,midair,long,NE,5,16.192899999999998,9
user2,midair,medium,SW,2,8.942400000000001,5
user2,midair,medium,W,1,7.6774,3
user2,midair,medium,NW,2,9.7433,6
user2,midair,medium,S,3,14.2112,18
user2,midair,medium,N,2,9.5939,2
user2,midair,medium,SE,2,9.9752,1
user2,midair,medium,E,2,8.9101,7
